"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","員工資訊","許可_總床數","護理人員_合計","醫事人員_合計",
"國軍高雄總醫院附設屏東民眾診療服務處附設護理之家","屏東縣","屏東市","龍華里2鄰大湖路58巷22號三樓","屏東縣屏東市龍華里2鄰大湖路58巷22號三樓","02","一般護理之家","<year=103&class=3>","","","08-7554091","無","s392485@gmail.com","True","","40","6","0",
"嘉鴻護理之家","屏東縣","潮州鎮","永春里介壽路14號","屏東縣潮州鎮永春里介壽路14號","02","一般護理之家","<year=102&class=2>","","08-7882282","08-7888457","無","t0922295072@yahoo.com.tw","True","","50","5","1",
"瑞祥護理之家","屏東縣","潮州鎮","新生里中山路172號5樓.6樓","屏東縣潮州鎮新生里中山路172號5樓.6樓","02","一般護理之家","<year=104&class=4>","","08-7883678","08-7897689","無","judy0807@yahoo.com.tw","True","","46","6","0",
"東港護理之家","屏東縣","東港鎮","船頭里大東路183號","屏東縣東港鎮船頭里大東路183號","02","一般護理之家","<year=104&class=3>","","08-8355859","08-8334555","無","candy6515a@yahoo.com.tw","True","","65","7","0",
"恆基醫療財團法人附設恆愛護理之家","屏東縣","恆春鎮","山腳里恆西路一巷6號3樓","屏東縣恆春鎮山腳里恆西路一巷6號3樓","02","一般護理之家","<year=103&class=2>","","08-8892293#315","08-8880446","http://www.hcch.org.tw/hospital/loveforever/","hcch.735@gmail.com","True","","27","4","0",
"南門護理之家","屏東縣","恆春鎮","網紗里草埔路75號","屏東縣恆春鎮網紗里草埔路75號","02","一般護理之家","<year=104&class=2>","","08-8880606","08-8882020","無","nanman0606@pchome.com.tw","True","","158","11","0",
"萬丹護理之家","屏東縣","萬丹鄉","寶厝村6鄰西環路80號","屏東縣萬丹鄉寶厝村6鄰西環路80號","02","一般護理之家","<year=104&class=3>","","08-7772279","08-7778876","無","peptic123@yahoo.com.tw","True","","29","5","0",
"朝陽護理之家","屏東縣","長治鄉","香揚村瑞源路90號1樓","屏東縣長治鄉香揚村瑞源路90號1樓","02","一般護理之家","<year=104&class=3>","","08-7234567","08-7217039","無","rita_3329@yahoo.com.tw","True","","26","6","0",
"高雄榮民總醫院屏東分院附設護理之家","屏東縣","內埔鄉","龍潭村昭勝路安平一巷一號","屏東縣內埔鄉龍潭村昭勝路安平一巷一號","02","一般護理之家","<year=104&class=3>","","08-7704115#612","08-7701952","http://www.vhlc.gov.tw/web/04dep/05special_1.htm","ns11@mail.vhlc.gov.tw","True","","100","8","0",
"皇安醫療社團法人附設小康護理之家","屏東縣","新埤鄉","新埤村新華路文化巷18-1號","屏東縣新埤鄉新埤村新華路文化巷18-1號","02","一般護理之家","<year=104&class=4>","","08-7972715","08-7971833","http://sheankang.myweb.hinet.net/ck6.html","sh150016@yahoo.com.tw","True","","20","4","0",
"衛生福利部澎湖醫院附設護理之家","澎湖縣","馬公市","前寮里90號","澎湖縣馬公市前寮里90號","02","一般護理之家","<year=104&class=2>","","06-9274455","06-9264742","http://www.pngh.mohw.gov.tw/?aid=52&pid=86","mylala1112@yahoo.com.tw","True","","49","6","0",
"財團法人天主教靈醫會惠民醫院附設護理之家","澎湖縣","馬公市","樹德路１４號","澎湖縣馬公市樹德路１４號","02","一般護理之家","<year=104&class=3>","","06 9272318","06-9276745","http://penhu.net/9271750/c01.html","d3t211d16@yahoo.com.tw;","True","","90","7","0",
"基隆市私立和平護理之家","基隆市","中正區","平一路278號1-5樓280號1-4樓","基隆市中正區平一路278號1-5樓280號1-4樓","02","一般護理之家","<year=102&class=3>","","02-24631313","02-24624533","無","無","True","","60","6","0",
"新昆明醫院附設護理之家","基隆市","中正區","中正路卅號四樓及十樓","基隆市中正區中正路卅號四樓及十樓","02","一般護理之家","<year=104&class=5>","","02-24268106","02-24268106","http://skmhosp.webnode.tw/","hkm1026@ms14.hinet.net","True","","33","3","0",
"博愛護理之家","基隆市","七堵區","福一街162號","基隆市七堵區福一街162號","02","一般護理之家","<year=102&class=2>","","02-24524532","02-24516462","http://www.24524592.hos.tw/styles/style1/indexpage.php?mnID=161","無","True","","40","4","0",
"喜安護理之家","基隆市","七堵區","堵南街五十一之十二號","基隆市七堵區堵南街五十一之十二號","02","一般護理之家","<year=102&class=2>","","02-24511225","02-24514061","http://agency.twinner.com.tw/site/home/shian/index.php?Company_SN=1000011731&id=shian","shian24524225@yahoo.com.tw","True","","50","5","0",
"醫療財團法人臺灣區煤礦業基金會附設八堵護理之家","基隆市","暖暖區","源遠路29號4樓","基隆市暖暖區源遠路29號4樓","02","一般護理之家","<year=103&class=2>","","02-24579101","02-24572809","http://twmgh.com/","3223@twmgh.com","True","","48","4","0",
"基隆市私立安泰護理之家","基隆市","仁愛區","南榮路16-1號3樓、4樓、5樓、6樓、7樓、8樓、10樓、12樓","基隆市仁愛區南榮路16-1號3樓、4樓、5樓、6樓、7樓、8樓、10樓、12樓","02","一般護理之家","<year=104&class=2>","","02-24293737","02-24257272","http://www.kanh.com.tw","無","True","","114","9","1",
"基隆市私立聯安護理之家","基隆市","仁愛區","愛五路34號3樓","基隆市仁愛區愛五路34號3樓","02","一般護理之家","<year=104&class=3>","","02-'24241071","02-'24291071","http://www.24241071.hos.tw/","n24241071@yahoo.com.tw","True","","30","4","0",
"基隆市立醫院附設護理之家","基隆市","信義區","東信路282號","基隆市信義區東信路282號","02","一般護理之家","<year=104&class=2>","","02-4652141","02-24663048","http://www.kmh.gov.tw/Information/Specially.asp?AA=%C5@%B2z%A4%A7%AEa","無","True","","80","11","0",
"衛生福利部基隆醫院附設護理之家","基隆市","信義區","信二路二六八號","基隆市信義區信二路二六八號","02","一般護理之家","<year=104&class=1>","","02-24292525","02-24288276","http://www.kln.mohw.gov.tw/?aid=home","dire01@kln.mohw.gov.tw","True","","50","8","0",
"呂外科診所附設護理之家","新竹市","東區","中華路二段304號3-4樓","新竹市東區中華路二段304號3-4樓","02","一般護理之家","<year=102&class=3>","","03-5280506","03-5280507","無","lu5280506@yahoo.com.tw","True","","30","5","0",
"宜德護理之家","新竹市","北區","磐石里竹文街121號1樓","新竹市北區磐石里竹文街121號1樓","02","一般護理之家","<year=104&class=3>","","03-5353929","03-5339407","http://yide.isenai.com/","yide@isenai.com","True","","65","7","1",
"新竹市私立佑安護理之家","新竹市","北區","中山里中央路1號8樓","新竹市北區中山里中央路1號8樓","02","一般護理之家","<year=104&class=3>","","03-5278218","03-5277871","http://www.youan.tw/stable.php?page=aboutus","youan2009@kimo.com","True","","52","4","1",
"平和醫療社團法人和平醫院附設和平護理之家","新竹市","北區","和平路和平路86-1號6、7、8樓","新竹市北區和平路和平路86-1號6、7、8樓","02","一般護理之家","<year=104&class=1>","","03-5260151#812","03-5212892","http://www.peacehospital.url.tw/product.html","e4133@yahoo.com.tw","True","","52","5","0",
"國軍新竹地區醫院附設民眾診療服務處附設護理之家","新竹市","北區","武陵路3號5樓","新竹市北區武陵路3號5樓","02","一般護理之家","<year=104&class=3>","","03-5348181#3502","無","http://813.mnd.gov.tw/","lovenh3502@yahoo.com.tw","True","","52","4","0",
"新中興醫院附設護理之家","新竹市","北區","興南街43號3樓","新竹市北區興南街43號3樓","02","一般護理之家","<year=102&class=3>","","03-5213163","03-5262004","http://www.hcsh.com.tw/","54nurse7@gmail.com","True","","35","4","0",
"平和醫療社團法人附設和平護理之家","新竹市","北區","和平路86-1號6、7、8樓","新竹市北區和平路86-1號6、7、8樓","02","一般護理之家","<year=104&class=1>","","03-5260151#812","03-5212892","http://www.peacehospital.url.tw/product.html","e4133@yahoo.com.tw","True","","52","5","0",
"世華護理之家","嘉義市","東區","平路178號","嘉義市東區和平路178號","02","一般護理之家","<year=102&class=3>","","05-2767102","05-2774386","無","hua957@yahoo.com.tw","True","","40","6","0",
"嘉義市私立東洋護理之家","嘉義市","東區","盧厝里文心街一六二號","嘉義市東區盧厝里文心街一六二號","02","一般護理之家","<year=104&class=3>","","05-2761297","?05-2766933","?無","tync162@gmail.com","True","","62","5","0",
"天主教中華聖母修女會醫療財團法人附設天主教聖馬爾定護理之家","嘉義市","東區","芳安路103號","嘉義市東區芳安路103號","02","一般護理之家","<year=104&class=1>","","05-2289916","?05-2289916#1020","http://www.stm.org.tw/Nursing-Home/?","? f500@stm.org.tw","True","","258","22","3",
"嘉義市私立蘭潭家福護理之家","嘉義市","東區","學府路二九九號","嘉義市東區學府路二九九號","02","一般護理之家","<year=104&class=2>","","05-2759200","?05-2759205","?www.chifu-nursing.com.tw","?chifu.nursing@msa.hinet.net","True","","99","8","0",
"嘉義市私立慈祐護理之家","嘉義市","西區","北社尾路60號","嘉義市西區北社尾路60號","02","一般護理之家","<year=103&class=3>","","05-2381009","05-2383058?????????","?無","a2381009@yahoo.com.tw 　","True","","41","5","0",
"仁德醫療社團法人附設護理之家","嘉義市","西區","林森西路285號","嘉義市西區林森西路285號","2","一般護理之家","","","05-2258279#198","05-2237816","?http://www.jdhc.org.tw/index.php","cjdhp@hotmail.com.tw","True","","40","7","0",
"延松護理之家","嘉義市","西區","大同路256號","嘉義市西區大同路256號","02","一般護理之家","<year=102&class=3>","","05-2353942","05-2844240","無","s.son 20120323@yahoo.com.tw","True","","52","7","0",
"忠孝護理之家","嘉義市","西區","森里12鄰忠孝路250號","嘉義市西區林森里12鄰忠孝路250號","02","一般護理之家","<year=104&class=1>","","05-2716106","05-766740","?無"," h620904@Yahoo.com.tw","True","","99","6","0",
"祥太醫院附設護理之家","嘉義市","西區","嘉義區延平街490號與永和街116號","嘉義市西區嘉義市延平街490號與永和街116號","02","一般護理之家","<year=102&class=3>","","05-'2230398","05-2291286","無","hosann_home@yahoo.com.tw","True","","28","6","0",
"嘉義市私立瑞泰護理之家","嘉義市","西區","光彩街595號","嘉義市西區光彩街595號","2","一般護理之家,居家護理","","","05-2258852","05-2257917","http://www.raytai.org.tw","retirednh@seed.net.tw","True","","95","11","1",
"衛生福利部嘉義醫院附設護理之家","嘉義市","西區","北港路312號","嘉義市西區北港路312號","02","一般護理之家","<year=104&class=1>","","05-2319090","05-2316781","無","rainydogs@yahoo.com.tw","True","","133","13","0",
"臺中榮民總醫院嘉義分院附設護理之家","嘉義市","西區","劉厝里世賢路二段６００號","嘉義市西區劉厝里世賢路二段６００號","02","一般護理之家","<year=104&class=2>","","05 2359630","05-2361849 ","http://www.vhcy.gov.tw","cyw50@vghtc.gov.tw","True","","246","21","0",
"鵬程護理之家","臺北市","松山區","健康路399號及399號2樓","臺北市松山區健康路399號及399號2樓","02","一般護理之家","<year=104&class=2>","","02-87872011","02-87872011","http://www.pcnh.com.tw/","pcnh87872011@gmail.com","True","","47","6","1",
"三軍總醫院松山分院附設民眾診療服務處附設護理之家","臺北市","松山區","健康路131號健康長青樓3、4樓","臺北市松山區健康路131號健康長青樓3、4樓","02","一般護理之家","<year=102&class=2>","","02-27642151#671976","02-27642151#671976","http://807.mnd.gov.tw/index.php?module=DeptInfo&action=about&sn=41","hospital807@yahoo.com.tw","True","","56","12","0",
"臺北市立聯合醫院附設仁愛護理之家","臺北市","大安區","仁愛路四段10號南棟4樓","臺北市大安區仁愛路四段10號南棟4樓","2","一般護理之家","<year=104&class=3>","","02-27093600#1522","02-27093600#1522","http://www.tpech.gov.taipei/ct.asp?xItem=136340&CtNode=14555&mp=109151","B0409@tpech.gov.tw","True","True","50","4","4",
"恩庭護理之家","臺北市","中山區","中山北路1段33巷17號1-4樓及19號1樓","臺北市中山區中山北路1段33巷17號1-4樓及19號1樓","02","一般護理之家","<year=103&class=2>","","02-25716298","02-25716298","http://huai-tzu.myweb.hinet.net/","huai.tzu.tw@gmail.com","True","","55","8","0",
"臺北市立聯合醫院附設和平婦幼護理之家","臺北市","中正區","中華路二段33號B棟9樓","臺北市中正區中華路二段33號B棟9樓","02","一般護理之家","<year=103&class=2>","","02-2388959502-89018903","02-23889595#8901,8903","http://www.tpech.gov.taipei/ct.asp?xItem=1221192&CtNode=14715&mp=109161","B0854@tpech.gov.tw","True","","41","5","0",
"三軍總醫院附設護理之家","臺北市","中正區","汀州路3段40號4-9樓","臺北市中正區汀州路3段40號4-9樓","02","一般護理之家","<year=104&class=1>","","02-236590555","02-236590555","無","nh@mail.ndmctsgh.edu.tw","True","","229","30","0",
"大稻埕護理之家","臺北市","大同區","環河北路1段73.75.77.79號1.2樓","臺北市大同區環河北路1段73.75.77.79號1.2樓","02","一般護理之家","<year=104&class=2>","","02-25505197","02-25505197","http://www.bestcare.net.tw/","無","False","True","24","8","0",
"春寧診所附設護理之家","臺北市","大同區","長安西路35號3至8樓","臺北市大同區長安西路35號3至8樓","02","一般護理之家","<year=104&class=1>","","02-25492000","02-25492000","http://www.cnnh.com.tw/cgi-bin/big5/k/374e?q1=374ev1&q65=2010699&time=02:59:34&q27=374e&q12=1","cnnh88@gmail.com","True","","60","5","1",
"吉翔護理之家","臺北市","大同區","甘州街55號4、7、8樓","臺北市大同區甘州街55號4、7、8樓","02","一般護理之家","<year=104&class=1>","","02-25520557","02-25520557","http://www.gishean.com.tw/Ch/Main.asp","gishean@yahoo.com.tw","True","","49","7","0",
"春寧護理之家","臺北市","大同區","長安西路35號3至8樓","臺北市大同區長安西路35號3至8樓","02","一般護理之家","<year=104&class=1>","","02-25492000","02-25492000","http://www.cnnh.com.tw/cgi-bin/big5/k/374e?q1=374ev1&q65=2010699&time=02:59:34&q27=374e&q12=1","cnnh88@gmail.com","True","","60","5","6",
"國立臺灣大學醫學院附設醫院北護分院附設護理之家","臺北市","萬華區","內江街87號7、8、9樓","臺北市萬華區內江街87號7、8、9樓","02","一般護理之家","<year=102&class=2>","","02-23717101#8800,8700","02-23717101#8800,8700","http://ntuh.mc.ntu.edu.tw/bh/","cyc@msbh.ntuh.gov.tw","True","","80","11","0",
"重建樂活護理之家","臺北市","文山區","萬美街1段19巷3號1樓","臺北市文山區萬美街1段19巷3號1樓","02","一般護理之家","<year=104&class=3>","","02-22305663","02-22305663","www.renewlohas.com.tw","renew.lohas@msa.hinet.net","True","","22","6","1",
"景美醫院附設護理之家","臺北市","文山區","萬慶街18號3、4樓","臺北市文山區萬慶街18號3、4樓","02","一般護理之家","<year=104&class=1>","","02-29332962","02-29332962","http://www.jmh.com.tw/page/lain6/92.php","無","True","","46","4","1",
"臺北市立萬芳醫院附設護理之家","臺北市","文山區","興隆路三段111號12樓","臺北市文山區興隆路三段111號12樓","02","一般護理之家","<year=104&class=1>","","02-29307930#52900","02-29307930#52900","http://www.wanfang.gov.tw/p9_medical.aspx?dn=%E9%86%AB%E7%99%82%E4%B8%AD%E5%BF%83&cn=%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6","無","True","","69","12","0",
"臺北市立聯合醫院附設忠孝護理之家","臺北市","南港區","同德路87號6樓","臺北市南港區同德路87號6樓","02","一般護理之家","<year=104&class=1>","","02-27861288#8764","02-27861288#8764","http://www.gov.taipei/ct.asp?xItem=1871602&CtNode=42755&mp=109171","B2153@tpech.gov.tw","True","","49","5","0",
"康寧醫療財團法人附設康寧護理之家","臺北市","內湖區","成功路5段420巷26號6、7樓","臺北市內湖區成功路5段420巷26號6、7樓","02","一般護理之家","<year=104&class=3>","","02-26345500#7000","02-26345500#7000","http://www.knh.org.tw/knlife/","knhNH@mail.knh.org.tw","True","","96","8","0",
"臺北市立聯合醫院附設陽明護理之家","臺北市","士林區","雨聲街105號7樓","臺北市士林區雨聲街105號7樓","02","一般護理之家","<year=104&class=1>","","02-28353456#6862","02-28353456#6862","http://www.gov.taipei/ct.asp?xItem=159740&CtNode=15143&mp=109181","B1655@tpech.gov.tw","True","","40","6","0",
"百齡診所附設護理之家","臺北市","士林區","重慶北路四段一八七號","臺北市士林區重慶北路四段一八七號","02","一般護理之家","<year=104&class=2>","","02-28113113","02-28113113","http://www.nursingservice.com.tw","nursinghome2009@hotmail.com","True","","192","8","1",
"振興醫療財團法人附設振興護理之家","臺北市","北投區","振興街45號","臺北市北投區振興街45號","02","一般護理之家","<year=104&class=2>","","02-28264400#4100","02-28264400#4100","http://goo.gl/xwVzAk","ch7449@chgh.org.tw","True","","73","10","0",
"臺北市立關渡醫院附設護理之家","臺北市","北投區","知行路225巷12號6、12樓","臺北市北投區知行路225巷12號6、12樓","02","一般護理之家","<year=104&class=1>","","02-28587000#7161","02-28587000#7161","無","btkbtk@gandau.gov.tw","True","","183","13","0",
"安庭護理之家","高雄市","鹽埕區","建國四路119號1-4樓","高雄市鹽埕區建國四路119號1-4樓","02","一般護理之家","<year=103&class=2>","","07-5216666","07-5212530","無","無","","","","6","0",
"進安護理之家","高雄市","鹽埕區","建國四路303號","高雄市鹽埕區建國四路303號","02","一般護理之家","<year=102&class=2>","","07-5330833","07-5610547","無","無","","","","6","0",
"長安護理之家","高雄市","鼓山區","九如四路1032號","高雄市鼓山區九如四路1032號","02","一般護理之家","<year=104&class=1>","","07-5215820","07-5215787","https://www.facebook.com/cn.nursinghome/","happy_an08@livemail.tw","True","","24","4","1",
"瑞豐護理之家","高雄市","鼓山區","華寧路１３７號２－７Ｆ","高雄市鼓山區華寧路１３７號２－７Ｆ","02","一般護理之家","<year=104&class=1>","","07-5538828","無","http://cht.tw/x/kh449","sunflow.kh@msa.hinet.net","True","","74","8","0",
"長安護理之家","高雄市","鼓山區","九如四路1032號","高雄市鼓山區九如四路1032號","02","一般護理之家","<year=104&class=1>","","07-5215820","07-5215787","無","happy_an08@livemail.tw","True","","74","6","0",
"博永護理之家","高雄市","左營區","博愛二路100號6樓","高雄市左營區博愛二路100號6樓","02","一般護理之家","<year=104&class=1>","","07-5592275","07-5572464","http://www.nursing.com.tw/ponet/front/bin/home.phtml","bj.nh@msa.hinet.net","True","","43","5","1",
"博正護理之家","高雄市","左營區","博愛二路１００號７、８Ｆ","高雄市左營區博愛二路１００號７、８Ｆ","02","一般護理之家","<year=104&class=1>","","07 3451911","無","http://www.nursing.com.tw/ponet/front/bin/home.phtml","bj.nh@msa.hinet.net","True","","80","9","1",
"國軍高雄總醫院左營分院附設民眾診療服務處護理之家","高雄市","左營區","軍校路５５３號","高雄市左營區軍校路５５３號","02","一般護理之家","<year=104&class=1>","","07 5817121","無","http://806.mnd.gov.tw/nurse/index.php","S000229@mail.ngh.com.tw","True","","90","11","0",
"右昌聯合醫院附設護理之家","高雄市","楠梓區","軍校路930號10樓","高雄市楠梓區軍校路930號10樓","02","一般護理之家","<year=104&class=3>","","07-3643388#1105","無","http://www.ycuh.com.tw/HealthService/NursingHome","ycuh.nhc83@yahoo.com.tw","True","","28","4","0",
"崇祐護理之家","高雄市","楠梓區","加宏路、宏昌街188號、135、137號","高雄市楠梓區加宏路、宏昌街188號、135、137號","02","一般護理之家","<year=104&class=3>","","07-3658343","07-3658370","http://chong-en-group.com.tw/NewsDetail.aspx?docId=756","ci17006274@hotmail.com.tw","True","","135","9","3",
"崇恩護理之家","高雄市","楠梓區","立仁街133號1-2樓","高雄市楠梓區立仁街133號1-2樓","02","一般護理之家","<year=104&class=2>","","07-3539619","無","http://chong-en-group.com.tw/NewsDetail.aspx?docId=756","cd0980707025@hotmail.com.tw","True","","74","7","1",
"育祐護理之家","高雄市","楠梓區","常德路317巷9弄27號","高雄市楠梓區常德路317巷9弄27號","02","一般護理之家","<year=102&class=3>","","07-3516260","07-3526375","http://chong-en-group.com.tw/NewsDetail.aspx?docId=756","cj18416249@hotmail.com.tw","True","","30","4","0",
"仁惠護理之家","高雄市","三民區","九如一路58號12樓","高雄市三民區九如一路58號12樓","02","一般護理之家","<year=103&class=3>","","07-3802030","07-3801663","無","hua_0831@yahoo.com.tw","True","","99","10","0",
"永健護理之家","高雄市","三民區","九如一路245號","高雄市三民區九如一路245號","02","一般護理之家","<year=104&class=1>","","07-3962958","07-3962136","http://www.lnhcare.com/ponet/front/bin/cglist.phtml?Category=131737","lnh3962958@gmail.com","True","","53","9","0",
"仁惠護理之家","高雄市","三民區","九如一路58號12樓","高雄市三民區九如一路58號12樓","02","一般護理之家","<year=103&class=3>","","07-3802030","07-3801663","http://www.renhuei.com.tw/","hua_0831@yahoo.com.tw","True","","20","5","0",
"聯合護理之家","高雄市","三民區","自立一路266號1-3樓","高雄市三民區自立一路266號1-3樓","02","一般護理之家","<year=102&class=3>","","07-3232938","無","http://chong-en-group.com.tw/NewsDetail.aspx?docId=756","v500523@yahoo.com.tw","True","","60","5","0",
"護祐護理之家","高雄市","三民區","黃興路336號","高雄市三民區黃興路336號","02","一般護理之家","<year=102&class=3>","","07-3812808","無","http://www.chong-en-group.com.tw/CMSDtl.aspx?progId=R00011&progIdP=R00003","cd17014984@hotmail.com.tw","True","","89","6","2",
"和興護理之家","高雄市","三民區","建興路277號5樓","高雄市三民區建興路277號5樓","02","一般護理之家","<year=103&class=2>","","07-3871285","無","https://www.facebook.com/hersinlongcare/","a3871285@xuite.net","True","","38","5","0",
"文雄醫院附設護理之家","高雄市","三民區","察哈爾二街132號5、6樓","高雄市三民區察哈爾二街132號5、6樓","02","一般護理之家","<year=102&class=2>","","07-3165978","07-3165272","http://www.wen-hsiung.com.tw/profile_list.php","wong581224@yahoo.com.tw","True","","65","7","0",
"文雄護理之家","高雄市","三民區","宣化街97號","高雄市三民區宣化街97號","02","一般護理之家","<year=104&class=1>","","07-3150281","07-3165272","http://www.wen-hsiung.com.tw/profile_list.php","meinung22@yahoo.com.tw","True","","78","6","0",
"頤年護理之家","高雄市","三民區","九如二路495號4樓","高雄市三民區九如二路495號4樓","02","一般護理之家","<year=104&class=2>","","07-3129345","無","https://m.facebook.com/%E9%A0%A4%E5%B9%B4%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6-507745475972192/","wong581224@yahoo.com.tw","True","","25","4","0",
"永泰護理之家","高雄市","三民區","博愛一路２８７號３Ｆ","高雄市三民區博愛一路２８７號３Ｆ","02","一般護理之家","<year=104&class=2>","","07 3132191","無","http://a3132191.blogspot.tw","t3132191t@gmail.com","True","","25","7","0",
"瑞安護理之家","高雄市","新興區","七賢二路八十九號二至七樓","高雄市新興區七賢二路八十九號二至七樓","02","一般護理之家","<year=104&class=3>","","07-2855099","無","https://www.facebook.com/瑞安護理之家-903981986301268","C2855099@ms95.url.com.tw","True","","45","4","0",
"財團法人獎卿護理展望基金會護理之家","高雄市","前金區","七賢二路371號","高雄市前金區七賢二路371號","02","一般護理之家","<year=104&class=1>","","07-2618147","無","http://www.ccfnh.com.tw/article2.html","cc26181.nh26181@msa.hinet.net","True","","60","6","1",
"怡親護理之家","高雄市","前金區","中正四路103號5樓","高雄市前金區中正四路103號5樓","02","一般護理之家","<year=104&class=2>","","07-2515320","07-2515324","http://www.2515320.hos.tw","maio1213@yahoo.com.tw","True","","47","6","1",
"新立護理之家","高雄市","苓雅區","三多四路63號12樓","高雄市苓雅區三多四路63號12樓","02","一般護理之家","<year=103&class=2>","","07-3301000","07-3303845","http://www.sinli.com.tw/html/","fen98736@yahoo.com.tw","True","","163","11","2",
"五塊厝診所附設護理之家","高雄市","苓雅區","三多一路139、141號2、3、4樓143、145號1、2、3樓","高雄市苓雅區三多一路139、141號2、3、4樓143、145號1、2、3樓","02","一般護理之家","<year=102&class=3>","","07-7614545","07-7514545","http://www.nursing-home.tw","nana7614545@yahoo.com.tw","True","","48","7","1",
"聖公媽護理之家","高雄市","苓雅區","永平路42號","高雄市苓雅區永平路42號","02","一般護理之家","<year=103&class=2>","","07-3318805","無","http://www.kingma.com.tw","Kingma0921@yahoo.com.tw","True","","73","5","0",
"天主教聖功醫療財團法人附設聖功護理之家","高雄市","苓雅區","建國一路３５２號前棟三四五樓","高雄市苓雅區建國一路３５２號前棟三四五樓","02","一般護理之家","<year=104&class=1>","","07 2238157","無","http://www.joseph.org.tw/index.php?rurl=page52.php","swallow650529@yahoo.com.tw","True","","200","31","0",
"高雄市立民生醫院附設護理之家","高雄市","苓雅區","凱旋二路134號4-5樓","高雄市苓雅區凱旋二路134號4-5樓","02","一般護理之家","<year=104&class=1>","","07-7232717","無","http://www.kmsh.gov.tw","kmshnh@kmsh.gov.tw","True","","99","13","0",
"信義醫療財團法人附設方舟護理之家","高雄市","苓雅區","華新街８６號6樓","高雄市苓雅區華新街８６號6樓","02","一般護理之家","<year=104&class=3>","","07 3321111","無","http://www.kch.org.tw","262@kch.org.tw","True","","24","4","0",
"高雄佳醫護理之家","高雄市","前鎮區","民權二路180號3~7樓","高雄市前鎮區民權二路180號3~7樓","02","一般護理之家","<year=104&class=1>","","07-3310229","無","https://www.facebook.com/kh.abh.tw/","jingwen1972@gmail.com","True","","204","15","2",
"阮綜合醫療社團法人附設安順護理之家","高雄市","前鎮區","后安路263號4-7樓","高雄市前鎮區后安路263號4-7樓","02","一般護理之家","<year=104&class=3>","","07-8128310","07-8128302","http://www.yuanhosp.com.tw/front/bin/ptlist.phtml?Category=102855","y4339@yuanhosp.com.tw","True","","42","7","0",
"庚欣護理之家","高雄市","前鎮區","和平二路203、205、207號8樓","高雄市前鎮區和平二路203、205、207號8樓","02","一般護理之家","<year=104&class=3>","","07-7529775、07-7529665","07-7529206","http://holistic-care.myweb.hinet.net/","g009665@yahoo.com.tw","True","","36","4","0",
"臨海醫院附設護理之家","高雄市","小港區","沿海一路455、461號5-6樓","高雄市小港區沿海一路455、461號5-6樓","02","一般護理之家","<year=103&class=2>","","07-8012171#2505","07-8035246","http://www.linhai.com.tw","linhainursinghome@gmail.com","True","","35","7","0",
"德逸護理之家","高雄市","鳳山區","中山路22巷1號","高雄市鳳山區中山路22巷1號","02","一般護理之家","<year=104&class=3>","","07-7463881","無","http://www.dy-care.com/service.html","e844901.fly@msa.hinet.net","True","","44","5","1",
"聖惠護理之家","高雄市","鳳山區","五福二路165號2-4樓","高雄市鳳山區五福二路165號2-4樓","02","一般護理之家","<year=103&class=3>","","07-8318234","無","http://ap13.sundaking.com/front/bin/ptlist.phtml?Category=700","sh.nursinghome@gmail.com","True","","45","3","0",
"杏和醫院附設護理之家","高雄市","鳳山區","五甲二路470號2-7樓","高雄市鳳山區五甲二路470號2-7樓","02","一般護理之家","<year=102&class=3>","","07-7685656","無","http://www.shinghou.com.tw/nh.html","hieisung@yahoo.com.tw","True","","76","7","0",
"惠德醫院附設護理之家","高雄市","鳳山區","福祥街81號3、4、5樓","高雄市鳳山區福祥街81號3、4、5樓","02","一般護理之家","<year=104&class=2>","","07-8126000","無","www.etan.com.tw/huide_hosp/big5/site_item_list_4.php","j900221@yahoo.com.tw","True","","98","8","0",
"聖光診所附設護理之家","高雄市","鳳山區","中山東路１５９號3、4、５、6樓","高雄市鳳山區中山東路１５９號3、4、５、6樓","02","一般護理之家","<year=104&class=2>","","07 7411789","無","http://www.saint-light.com.tw/","l7411583@ms28.hinet.net","True","","90","8","0",
"慈佑護理之家","高雄市","林園區","沿海路四段72.74號","高雄市林園區沿海路四段72.74號","02","一般護理之家","<year=102&class=3>","","07-6436937","無","http://219.87.162.213/tsyr_yu/profile_list.php?article_id=4","hc22210505@ctda.com.tw","True","","43","6","0",
"復興護理之家","高雄市","大寮區","民智街167號","高雄市大寮區民智街167號","02","一般護理之家","<year=104&class=3>","","07-'7018961","無","https://m.facebook.com/%E5%BE%A9%E8%88%88%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6-937324813010079/","fsh550625@yahoo.com.tw","True","","105","8","1",
"聖心護理之家","高雄市","大寮區","中興里中正路二之一號二,三樓","高雄市大寮區中興里中正路二之一號二,三樓","02","一般護理之家","<year=102&class=3>","","07 7811811","無","https://m.facebook.com/%E8%81%96%E5%BF%83%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6-1672615209689029/","ss7811811@yahoo.com.tw","True","","60","6","1",
