"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","電話","傳真","單位網址","單位電子信箱",
"財團法人台灣省私立健順養護中心辦理新北市永和民權公共托老中心-日間照顧暨銀髮俱樂部","新北市","永和區","民權路60號5樓","新北市永和區民權路60號5樓","2","日間照顧服務","02-29451169","無","無","",
"社團法人新北市身心障礙者福利促進協會辦理新莊愛活樂園日間照顧中心","新北市","新莊區","四維路21號4樓","新北市新莊區四維路21號4樓","2","日間照顧服務","02-22030616#601","無","無","",
"財團法人新北市私立雙連社會福利慈善事業基金會辦理新北市新莊頭前公共托老中心-日間照顧暨銀髮俱樂部","新北市","新莊區","長青街30號","新北市新莊區長青街30號","2","日間照顧服務","02-29986838","無","無","",
"財團法人天主教耕莘醫院附設護理之家辦理日間照顧中心","新北市","新店區","中正路362號","新北市新店區中正路362號","2","日間照顧服務","02-22193391#65331","無","無","",
"財團法人天主教耕莘醫院辦理辦理新北市新店碧潭公共托老中心-日間照顧暨銀髮俱樂部","新北市","新店區","新店路159號2樓(碧潭公有零售區場)","新北市新店區新店路159號2樓(碧潭公有零售市場)","2","日間照顧服務","02-22193391#67141","無","無","",
"財團法人基督長老教會馬偕紀念醫院淡水分院辦理淡水北海岸日間公共托老中心-日間照顧暨銀髮俱樂部","新北市","淡水區","沙崙300號1樓","新北市淡水區沙崙300號1樓","2","日間照顧服務","02-28053392","無","無","",
"佳醫護理之家辦理新北市汐止佳醫公共托老中心-日間照顧暨銀髮俱樂部","新北市","汐止區","茄苳路296號","新北市汐止區茄苳路296號","2","日間照顧服務","02-23046716#215","無","無","",
"財團法人私立廣恩老人養護中心辦理新北市瑞芳明燈公共托老中心-日間照顧暨銀髮俱樂部","新北市","瑞芳區","明燈路三段2號2樓","新北市瑞芳區明燈路三段2號2樓","2","日間照顧服務","02-24063888","無","無","",
"財團法人私立廣恩老人養護中心辦理新北市土城頂埔公共托老中心-日間照顧暨銀髮俱樂部","新北市","土城區","中央路四段271巷12號1至2樓","新北市土城區中央路四段271巷12號1至2樓","2","日間照顧服務","02-22695333 02-22696222","無","無","",
"財團法人私立廣恩老人養護中心辦理新北市五股獅子頭公共托老中心-日間照顧暨銀髮俱樂部","新北市","五股區","孝義路30號","新北市五股區孝義路30號","2","日間照顧服務","02-22932666","無","無","",
"財團法人天主教主顧修女會辦理泰山奇蹟之家日間照顧中心","新北市","泰山區","新生路4號","新北市泰山區新生路4號","2","日間照顧服務","02-29062242#13","無","無","",
"財團法人新北市大樹社會福利基金會辦理林口仁愛日間公共托老中心-日間照顧暨銀髮俱樂部","新北市","林口區","文化一路一段137號1樓","新北市林口區文化一路一段137號1樓","2","日間照顧服務","02-26068117","無","無","",
"財團法人基督長老教會馬偕紀念醫院淡水分院辦理八里下庄日間公共托老中心-日間照顧暨銀髮俱樂部","新北市","八里區","舊城路19號3樓","新北市八里區舊城路19號3樓","2","日間照顧服務","02-86304270","無","無","",
"財團法人台中市私立甘霖社會福利慈善事業基金會(甘霖社區式日間照顧中心)","臺中市","中區","柳川東路3段5號2F之1、4F之1","臺中市中區柳川東路3段5號2F之1、4F之1","2","日間照顧服務","04-22207818","04-22209577","http://glsf.org.tw/","glsfdaycare@gmail.com",
"財團法人天主教聖母聖心修女會(惠華社區式日間照顧中心)","臺中市","中區","區府路103號","臺中市中區市府路103號","2","日間照顧服務","04-22227181","04-22230113","http://www.lkk.org.tw/","cscmold5@gmail.com",
"財團法人台灣省私立毓得社會福利基金會","臺中市","南區","建國南路一段265號","臺中市南區建國南路一段265號","2","日間照顧服務","04-22600729","04-22601911","http://www.yude.org.tw","ec.tw@msa.hinet.net",
"甘霖基金會(樂多家園)","臺中市","西區","公館路138號2樓","臺中市西區公館路138號2樓","2","日間照顧服務","04-23710073","04-23714957","http://www.glsf.org.tw/ 或https://www.facebook.com/glsfph","glsfph@gmail.com",
"財團法人台中市私立真愛社會福利慈善事業基金會","臺中市","北區","永興街338號","臺中市北區永興街338號","2","日間照顧服務","04-22382522","04-22382523","https://zh-tw.facebook.com/www.tctl.org.tw","tctl.tctl@msa.hinet.net",
"有限責任台中市居家照顧服務勞動合作社(樂齡衛道社區式日間照顧服務中心)","臺中市","北區","衛道路155號之1、2","臺中市北區衛道路155號之1、2","2","日間照顧服務","04-22354840","04-22359553","http://www.gfcare.org/","gfcaredaycare@gmail.com",
"財團法人天主教曉明社會福利基金會","臺中市","西屯區","光明路160號1樓(西大墩社區老人照顧中心)","臺中市西屯區光明路160號1樓(西大墩社區老人照顧中心)","2","日間照顧服務","04-27081130","04-27081129","http://web.lkk.org.tw/site13/site13_2.aspx","westdaycare@gmail.com",
"財團法人全成社會福利基金會","臺中市","南屯區","忠勇路23-12號2樓","臺中市南屯區忠勇路23-12號2樓","2","日間照顧服務","04-23890781","04-23890741","http://www.homeservice.org.tw","gfcare369@gmail.com",
"臺中市立仁愛之家","臺中市","北屯區","軍功路2段490號","臺中市北屯區軍功路2段490號","2","日間照顧服務","04-22392074","04-22393998","http://www.charity.taichung.gov.tw/","tmsch@taichung.gov.tw",
"中華傳愛社區服務協會","臺中市","豐原區","中山路600號3-4樓","臺中市豐原區中山路600號3-4樓","2","日間照顧服務","04-25296062","04-25296063","www.e-touch.org.tw","annabelle_hsieh@grace.org.tw",
"財團法人中華基督教福音信義傳道會","臺中市","東勢區","東蘭路1-4附1號（老人福利服務中心）3樓","臺中市東勢區東蘭路1-4附1號（老人福利服務中心）3樓","2","日間照顧服務","04-25886075","04-25886075","http://www.sh423.org.tw/index.asp","sydaycare@gmail.com",
"財團法人台灣省私立永信社會福利基金會附設臺中市私立松柏園老人養護中心","臺中市","大甲區","大安港路438號","臺中市大甲區大安港路438號","2","日間照顧服務","04-26761158","04-26762619","無獨立設置網址","u90118@yungshingroup.com",
"有限責任台中市居家照顧服務勞動合作社(樂齡衛道社區式日間照顧服務中心)","臺中市","清水區","鎮政路99巷10號1樓","臺中市清水區鎮政路99巷10號1樓","2","日間照顧服務","04-26261233","牽設中","http://www.gfcare.org/","gfcaredaycare@gmail.com",
"光田醫療社團法人附設光田護理之家","臺中市","沙鹿區","大同街5-2號","臺中市沙鹿區大同街5-2號","2","日間照顧服務,居家護理","04-26365000#2108","04-26365598","http://www.ktgh.com.tw/NursingHome","nursinghome@ktgh.com.tw",
"財團法人中華基督教福音信義傳道會","臺中市","新社區","興社街二段26號(老人文康中心)","臺中市新社區興社街二段26號(老人文康中心)","2","日間照顧服務","04-25821866","04-25873030","http://www.sh423.org.tw/index.asp","xinshedaycare@gmail.com",
"財團法人老五老基金會","臺中市","石岡區","豐勢路134號","臺中市石岡區豐勢路134號","2","日間照顧服務","04-25821081","X","http://www.ofo.org.tw/","sworker@ofo.org.tw",
"財團法人台灣省私立毓得社會福利基金會","臺中市","霧峰區","錦州路220號","臺中市霧峰區錦州路220號","2","日間照顧服務","04-23393732","04-23398367","http://www.yude.org.tw","ec.tw@msa.hinet.net",
"財團法人台中市私立真愛社會福利慈善事業基金會","臺中市","大里區","永隆路132號","臺中市大里區永隆路132號","2","日間照顧服務","04-22382522","04-22382523","https://zh-tw.facebook.com/www.tctl.org.tw","tctl.tctl@msa.hinet.net",
"有限責任台南市照顧服務勞動合作社(南梓日間照顧中心)","臺南市","新營區","建業路179號","台南市新營區建業路179號","2","日間照顧服務","06-2937250","06-2958212","無","care.service@msa.hinet.net",
"社團法人臺南市社區照顧協會(白河日間照顧中心)","臺南市","白河區","大德街33號2樓","台南市白河區大德街33號2樓","2","日間照顧服務","06-6851317","06-6330630","http://www.thc.org.tw/index.php","tainan.thc.@msa.hinet.net",
"財團法人台南市私立萬安社會福利慈善事業基金會(小腳腿日間照顧中心)","臺南市","柳營區","小腳腿226號之1 ","台南市柳營區小腳腿226號之1 ","2","日間照顧服務","06-6330506","06-6335147","http://ppt.cc/1VXDw","wanan_ddsc@yahoo.com.tw",
"財團法人台南市私立萬安社會福利慈善事業基金會(小腳腿失智日間照顧中心)","臺南市","柳營區","小腳腿226號之1 ","台南市柳營區小腳腿226號之1 ","2","日間照顧服務","06-6330506","06-6335147","http://ppt.cc/1VXDw","wanan_ddsc@yahoo.com.tw",
"有限責任台南市照顧服務勞動合作社(麻豆失智日間照顧中心)","臺南市","麻豆區","忠孝路6號3樓B室","台南市麻豆區忠孝路6號3樓B室","2","日間照顧服務","06-2937250","06-2958212","無","care.service@msa.hinet.net",
"有限責任台南市照顧服務勞動合作社(麻豆日間照顧中心)","臺南市","麻豆區","忠孝路6號3樓A室","台南市麻豆區忠孝路6號3樓A室","2","日間照顧服務","06-2937250","06-2958212","無","care.service@msa.hinet.net",
"財團法人高雄市私立萃文書院社會福利慈善事業基金會(官田日間照顧中心)","臺南市","官田區","中華路一段325號","臺南市官田區中華路一段325號","2","日間照顧服務","06-5790749","06-5790121","https://www.facebook.com/官田日間照顧中心-1415628658750571/","guti5790749@yahoo.com.tw",
"社團法人臺南市以琳之家關懷協會/蕭瓏老人日間照顧中心","臺南市","佳里區","佳里興213-1號","臺南市佳里區佳里興213-1號","2","日間照顧服務","06-7266202","06-7266202","https://www.facebook.com/%E8%95%AD%E7%93%8F%E8%80%81%E4%BA%BA%E6%97%A5%E9%96%93%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83-375715995948055/","elimshalom7@gmail.com",
"財團法人台南市私立荷園社會福利慈善事業基金會(荷園佳里失智日間照顧中心)","臺南市","佳里區","建中街111號","台南市佳里區建中街111號","2","日間照顧服務","06-7224713","－","無","heyuan.cl121@yahoo.com.tw",
"社團法人臺南市弘福社區關懷照顧服務協會(學甲日間照顧中心)","臺南市","學甲區","美豐49-21號","台南市學甲區美豐49-21號","2","日間照顧服務","06-7830788","06-7830759","https://www.facebook.com/center067830788?fref=ts","center7830788@gmail.com",
"社團法人臺南市臺南都志願服務協會(西港日間照顧中心)","臺南市","西港區","營西里後營1-2號","臺南市西港區營西里後營1-2號","2","日間照顧服務","06-7965599","06-7962737","","",
"臺南市童心園社會福利關懷協會（童心園）日間照顧中心）","臺南市","新化區","民生路7-3號","台南市新化區民生路7-3號","2","日間照顧服務","06-5904288","06-5801538","無","child29.sw@msa.hinet.net",
"財團法人台南市私立荷園社會福利慈善事業基金會(荷園玉井日間照顧中心)","臺南市","玉井區","樹糖街28巷9號","臺南市玉井區樹糖街28巷9號","2","日間照顧服務","06-5742484","無","https://www.facebook.com/yujing.daycare/","yujing.daycare@gmail.com",
"財團法人台南市基督教青年會社會福利慈善事業基金會(東門失智日間照顧中心)","臺南市","東區","大同路一段59號","台南市東區大同路一段59號","2","日間照顧服務","06-2143323","06-2159718","http://www.ymca-tainan.org.tw/old/","ymcadaycare@gmail.com",
"財團法人台南市基督教青年會社會福利慈善事業基金會(東門日間照顧中心)","臺南市","東區","大同路一段59號","台南市東區大同路一段59號","2","日間照顧服務","06-2159728","06-2159718","http://www.ymca-tainan.org.tw/old/","ymcadaycare@gmail.com",
"財團法人台灣省台南市天主教仁愛修女會附設仁愛日間照顧中心","臺南市","南區","金華路一段352巷130弄6號","台南市南區金華路一段352巷130弄6號","2","日間照顧服務","06-2631670","06-2631552","http://www.lauwulau.org.tw/Sys_Show.asp?ID=38","charitydaycare@gmail.com",
"財團法人樹河社會福利基金會(悠悠家園南門日間照顧中心)","臺南市","南區","南門路263號","台南市南區南門路263號","2","日間照顧服務","06-2142099","06-2144858","http://www.yuzen.org/","wen15798@yahoo.com.tw",
"財團法人樹河社會福利基金會(悠悠家園開元日間照顧中心)","臺南市","北區","開元路124號","台南市北區開元路124號","2","日間照顧服務","06-2094567","06-2095785","http://www.yuzen.org/","wen15798@yahoo.com.tw",
"財團法人樹河社會福利基金會(悠悠家園開元失智日間照顧中心)","臺南市","北區","開元路124號","台南市北區開元路124號","2","日間照顧服務","06-2094567","06-2095785","http://www.yuzen.org/","wen15798@yahoo.com.tw",
"社團法人台灣萬人社福協會(安南日間照顧中心)","臺南市","安南區","安中路五段202號","台南市安南區安中路五段202號","2","日間照顧服務","06-2570129","06-2577078","http://www.tpsw.org.tw/ap/index.aspx","annan2570129@gmail.com",
"財團法人台南市基督教青年會社會福利慈善事業基金會(建平日間照顧中心)","臺南市","安平區","建平路2號","台南市安平區建平路2號","2","日間照顧服務","06-2950080","06-2952322","http://www.ymca-tainan.org.tw/old/","ymcadaycare@gmail.com",
"財團法人台南市私立林澄輝社會福利慈善事業基金會(澄輝日照中心)","臺南市","中西區","臨安路一段89號1樓","臺南市中西區臨安路一段89號1樓","2","日間照顧服務","06-3586601#24","06-3507004","無","linch.tld2008@gmail.com",
"財團法人桃園縣私立怡德養護中心辦理怡仁居日間照顧中心","桃園市","桃園區","和興街17號","桃園市桃園區和興街17號","2","日間照顧服務","03-3373488","03-3373466","http://www.ms-younglife.org/%e6%80%a1%e4%bb%81%e5%b1%85%e6%97%a5%e7%85%a7%e4%b8%ad%e5%bf%83%e9%a6%96%e9%a0%81.html","yide@m-ms.com.tw",
"財團法人天主教德來會附設德來日間照顧中心","桃園市","桃園區","三民路一段2號","桃園市桃園區三民路一段2號","2","日間照顧服務","03-3317226","03-3384046","http://theresa-sc.org/","joannahsieh9102005@yahoo.com",
"中壢區幸福日間照顧中心(社團法人桃園市愛鄰舍協會辦理)","桃園市","中壢區","復興路161號3樓","桃園市中壢區復興路161號3樓","2","日間照顧服務","03-4266770","03-4616510","http://tylyna.org","jamevery611@yahoo.com.tw",
"中華民國紅十字會台灣省桃園縣支會辦理福喜緣日間照顧中心","桃園市","楊梅區","大模街10號2樓","桃園市楊梅區大模街10號2樓","2","日間照顧服務","03-4855785","03-34855785","https://www.facebook.com/fuxiyuan/?ref=aymt_homepage_panel","fuxi.yuan@msa.hinet.net",
"財團法人桃園市私立國宏老人長期照顧中心(養護型) 辦理國宏日間照顧中心","桃園市","平鎮區","環南路二段265號2樓之5","桃園市平鎮區環南路二段265號2樓之5","2","日間照顧服務","03-4598838","03-2842330","https://www.facebook.com/%E5%9C%8B%E5%AE%8F%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83-457322071006207/?ref=page_internal","rih.jhao@gmail.com",
