"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱",
"財團法人臺北市中國基督教靈糧世界佈道會士林靈糧堂","臺北市","士林區","士東路266巷3弄6號4樓","台北市士林區士東路266巷3弄6號4樓","2","居家服務","台北市士林區,台北市北投區,台北市內湖區","02-28314795","02-28367513","無","homeservice@slsc.org.tw",
"財團法人伊甸社會福利基金會","臺北市","北投區","裕民六路120號3樓C棟","台北市北投區裕民六路120號3樓C棟","2","居家服務","台北市士林區,台北市北投區","02-28210320","02-28210592","無","dep130@mail.eden.org.tw",
"財團法人老五老基金會","臺北市","北投區","中央北路一段12號3樓","台北市北投區中央北路一段12號3樓","2","居家服務","台北市士林區,台北市北投區","02-28929702","02-28976208","http://www.ofo.org.tw/","bt@ofo.org.tw",
"社團法人台灣身心機能活化運動協會","高雄市","左營區","翠華路601巷69號2樓","高雄市左營區翠華路601巷69號2樓","2","居家服務","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區,高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-5884647","07-5883527","http://www.facebook.com/PMFRE","kinou.hcs@gmail.com",
"有限責任高雄市育成照顧服務勞動合作社","高雄市","左營區","政德路647號2樓","高雄市左營區政德路647號2樓","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區,高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區","07-3431115","07-3432231","http://blog.udn.com/yucheng01","yu.cheng01@msa.hinet.net",
"財團法人獎卿護理展望基金會","高雄市","左營區","復興新村335號","高雄市左營區復興新村335號","2","居家服務","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區,高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-5883808","07-5816946","http://www.ccfnh.com.tw/","cc588.cc3808@msn.hinet.net",
"財團法人弘道老人福利基金會","高雄市","左營區","自由二路309號3樓","高雄市左營區自由二路309號3樓","2","居家服務,居家喘息","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區,高雄市鳳山區,高雄市林園區,高雄市大寮區,高雄市前金區,高雄市三民區","07-5563225","07-5563233","http://www.hondao.org.tw ","hondao.south@hondao.org.tw",
"高雄市同愛社會福利關懷協會","高雄市","三民區","九如二路583號6樓之1","高雄市三民區九如二路583號6樓之1","2","居家服務","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區","07-3111707","07-3111701","http://sixstar.moc.gov.tw/blog/38738140","3800951@gmail.com",
"財團法人高雄市私立典寶社會福利慈善事業基金會","高雄市","三民區","民族一路384號","高雄市三民區民族一路384號","2","居家服務","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區","07-3802867","07-3801529","https://zh-tw.facebook.com/DianBaoCharityAidFoundation","dbhsc598@gmail.com",
"社團法人高雄市家庭照顧者關懷協會","高雄市","三民區","熱河一街108號","高雄市三民區熱河一街108號","2","居家服務","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區","07-3223839","07-3133835","http://www.caregiver.org.tw","kh.caregiver@gmail.com",
"社團法人高雄長期照顧人員福利促進協會","高雄市","三民區","信義街303號1樓","高雄市三民區信義街303號1樓","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區","07-7101412","07-7101412","https://www.facebook.com/%E7%A4%BE%E5%9C%98%E6%B3%95%E4%BA%BA%E9%AB%98%E9%9B%84%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%BA%BA%E5%93%A1%E7%A6%8F%E5%88%A9%E4%BF%83%E9%80%B2%E5%8D%94%E6%9C%83-395572387228908/","wpmember@yahoo.com.tw",
"社團法人高雄市長期照顧專業協會","高雄市","新興區","民族二路182號","高雄市新興區民族二路182號","2","居家服務","高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-2221977","07-2250393","無","kltcp2011@yahoo.com.tw",
"社團法人高雄市善護關愛協會","高雄市","新興區","中正四路53號8樓之1","高雄市新興區中正四路53號8樓之1","2","居家服務","高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-2416336","07-2146112","http://www.yesjoinus.com.tw/ ; FB: https://www.facebook.com/yesjoinus/?fref=ts","a2416112@yahoo.com.tw",
"天主教聖功醫療財團法人聖功醫院 ","高雄市","苓雅區","建國一路352號2樓","高雄市苓雅區建國一路352號2樓","2","居家服務","高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-2231865","07-2239410","http://www.joseph.org.tw/","society2110@mail.joseph.org.tw",
"信義醫療財團法人高雄基督教醫院 ","高雄市","苓雅區","華新街86號","高雄市苓雅區華新街86號","2","居家服務","高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-5363016","07-5363017","http://www.kch.org.tw","233@kch.org.tw",
"佳馨居家護理所","高雄市","苓雅區","成功一路232號11樓之1","高雄市苓雅區成功一路232號11樓之1","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區,高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-5369381","07-5369803","http://www.jiaxin.biz/","jiaxin5656@gmail.com",
"爵嘉居家護理所","高雄市","小港區","港興街65號","高雄市小港區港興街65號","2","居家服務","高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-8217643","07-8211161","無","lihua3649@hotmail.com",
"財團法人高雄市郭吳麗珠社會福利慈善事業基金會","高雄市","鳳山區","福誠二街168號4樓","高雄市鳳山區福誠二街168號4樓","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區,高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-8119977","07-8113256","http://www.npo.org.tw/npolist_detail.asp?id=6220","daxin1@hibox.hinet.net",
"中華民國紅十字會新高雄分會","高雄市","鳳山區","花園街16號","高雄市鳳山區花園街16號","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區,高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區","07-7467028","07-7468556","https://www.facebook.com/NKSREDCROSS/?ref=aymt_homepage_panel&__mref=message_bubble","ksred830@gmail.com",
"有限責任高雄市安祥照顧服務勞動合作社","高雄市","鳳山區","大東一路113號","高雄市鳳山區大東一路113號","2","家庭托顧服務,居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區,高雄市新興區,高雄市前金區,高雄市苓雅區,高雄市前鎮區,高雄市旗津區,高雄市小港區","07-7902768","07-7902896","http://anxiangcare.com/","caregiv.living@gmail.com",
"有限責任高雄市協和照顧服務勞動合作社","高雄市","鳳山區","信義街50號","高雄市鳳山區信義街50號","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區","07-7407512","07-7407515","https://www.facebook.com/ksh83064/","ksh83064@gmail.com",
"財團法人高雄市私立永安老人養護中心","高雄市","大寮區","濃中街22巷17號","高雄市大寮區濃中街22巷17號","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區","07-7882577","07-7880500","http://yungan.shop2000.com.tw/","yungan_care@yahoo.com.tw",
"財團法人高雄市私立慈聯社會福利基金會","高雄市","仁武區","仁雄路42之1號","高雄市仁武區仁雄路42之1號","2","居家服務","高雄市鳳山區,高雄市大寮區,高雄市林園區,高雄市鳥松區,高雄市仁武區,高雄市大社區,高雄市大樹區","07-3715009","07-3739481","https://www.facebook.com/clsw3715009/?ref=aymt_homepage_panel","3715009h@gmail.com",
"善逸居家護理所","高雄市","岡山區","大義二路326號","高雄市岡山區大義二路326號","2","居家服務","高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-6256610","07-6257311","無","shanyi4u@gmail.com",
"保證責任高雄市高屏照顧服務勞動合作社","高雄市","岡山區","岡山路27號8樓之3","高雄市岡山區岡山路27號8樓之3","2","居家服務","高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-6295713","07-6295803 ","http://blog.yam.com/kp168888","kp2011699@gmail.com",
"社團法人高雄市樂齡照顧關懷協會","高雄市","岡山區","岡山路9號","高雄市岡山區岡山路9號","2","居家服務","高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-6296171","07-6296171","https://www.facebook.com/theelderlyservicesassociationofKaohsiung/?ref=hl","36954598iseeyou@gmail.com",
"財團法人濟興長青基金會","高雄市","燕巢區","延平街87之13號3樓","高雄市燕巢區延平街87之13號3樓","2","居家服務","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區,高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-5518235","07-5310557","http://www.jising.org.tw","jising.org@gmail.com",
"社團法人高雄市路竹社會福利協會","高雄市","路竹區","中華路337-1號","高雄市路竹區中華路337-1號","2","居家服務","高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-6969391","07-6071005","https://www.facebook.com/%E7%A4%BE%E5%9C%98%E6%B3%95%E4%BA%BA%E9%AB%98%E9%9B%84%E5%B8%82%E8%B7%AF%E7%AB%B9%E7%A4%BE%E6%9C%83%E7%A6%8F%E5%88%A9%E5%8D%94%E6%9C%83-768975696485266/","hc0311.6969391@gmail.com",
"財團法人臺南市私立荷園社會福利慈善事業基金會","高雄市","湖內區","長壽路65巷6弄1號","高雄市湖內區長壽路65巷6弄1號","2","居家服務","高雄市岡山區,高雄市路竹區,高雄市湖內區,高雄市茄萣區,高雄市永安區,高雄市彌陀區,高雄市梓官區,高雄市橋頭區,高雄市阿蓮區,高雄市田寮區,高雄市燕巢區","07-6930680","07-6930710","https://www.facebook.com/hvtainan/","heyuan.kh@gmail.com",
"衛生福利部旗山醫院","高雄市","旗山區","東新街25巷8號1樓","高雄市旗山區東新街25巷8號1樓","2","居家服務","高雄市旗山區,高雄市美濃區,高雄市內門區,高雄市杉林區,高雄市甲仙區,高雄市六龜區,高雄市那瑪夏區,高雄市桃源區,高雄市茂林區","07-6613811#3005-3007","07-6624298","http://www.chis.mohw.gov.tw/","swr@mail.chis.doh.gov.tw",
"重安醫院","高雄市","旗山區","大仁街18號","高雄市旗山區大仁街18號","2","居家服務","高雄市旗山區,高雄市美濃區,高雄市內門區,高雄市杉林區,高雄市甲仙區,高雄市六龜區,高雄市那瑪夏區,高雄市桃源區,高雄市茂林區","07-6627920       ","07-6628387","無","ca6627920@gmail.com",
"有限責任高雄市日新照顧服務勞動合作社","高雄市","美濃區","雙峰街6-3號","高雄市美濃區雙峰街6-3號","2","居家服務","高雄市旗山區,高雄市美濃區,高雄市內門區,高雄市杉林區,高雄市甲仙區,高雄市六龜區,高雄市那瑪夏區,高雄市桃源區,高雄市茂林區","07-6811377","07-6821377","http://www.zsin-care.com.tw/","care.giver88@msa.hinet.net",
"財團法人伊甸社會福利基金會","高雄市","甲仙區","文化路67之2號","高雄市甲仙區文化路67之2號","2","居家服務","高雄市旗山區,高雄市美濃區,高雄市內門區,高雄市杉林區,高雄市甲仙區,高雄市六龜區,高雄市那瑪夏區,高雄市桃源區,高雄市茂林區","07-6753255","07-6753255","http://www.eden.org.tw/","eden5542@eden.org.tw",
"財團法人高雄市私立萃文書院社會福利慈善事業基金會","高雄市","內門區","番子路16-10號","高雄市內門區番子路16-10號","2","居家服務","高雄市旗山區,高雄市美濃區,高雄市內門區,高雄市杉林區,高雄市甲仙區,高雄市六龜區,高雄市那瑪夏區,高雄市桃源區,高雄市茂林區","07-6672888","07-6671678","無","jw970301@yahoo.com.tw",
"社團法人新北市身心障礙者福利促進協會","新北市","板橋區","文化路2段453號3樓","新北市板橋區文化路2段453號3樓","2","居家服務","新北市板橋區,新北市瑞芳區","02-22500177","無","無","cs@ilive.org.tw",
"中華民國紅十字會臺灣省分會","新北市","板橋區","文化路1段301號","新北市板橋區文化路1段301號","2","居家服務","新北市中和區,新北市林口區","02-22559713","02-23630598","無","rct@seed.net.tw",
"財團法人台北市立心慈善基金會","新北市","三重區","三重區中華路22號 ","新北市三重區三重區中華路22號 ","2","居家服務","新北市三重區,新北市淡水區","02-29711997 ","02-89816952","無","lishin.north@msa.hinet.net",
"旺福居家護理所","新北市","三重區","溪尾街328-11號13樓","新北市三重區溪尾街328-11號13樓","2","居家服務","台北市士林區,台北市北投區","02-29738188,28571520","02-29738187","無","wonful2012@yahoo.com.tw",
"財團法人伊甸社會福利基金會附設新北市三峽身心障礙福利服務中心","新北市","三重區","國光街12巷10號1樓  ","新北市三重區國光街12巷10號1樓  ","2","居家服務","新北市樹林區,新北市三峽區,新北市鶯歌區","02-26741778","02-26744380","無","eden5880@mail.eden.org.tw",
"財團法人天主教失智老人社會福利基金會","新北市","中和區","橋安街12號3樓","新北市中和區橋安街12號3樓","2","居家服務","台北市大同區,台北市萬華區,新北市永和區,新北市八里區","02-22469930","02-22460075","無","s8910009@gmail.com",
"財團法人台灣省私立健順養護中心","新北市","永和區","民權路60號5樓","新北市永和區民權路60號5樓","2","居家服務","新北市中和區,新北市林口區","02-29451169  ","02-29451172","無","yonghe.homecare@gmail.com",
"財團法人弘道老人福利基金會","新北市","新莊區","思源路38號9樓","新北市新莊區思源路38號9樓","2","居家服務","新北市新莊區,新北市金山區","02-89913925","02-89915512","無","hondao-tp@hondao.org.tw",
"天主教耕莘醫療財團法人耕莘醫院","新北市","新店區","中正路362號","新北市新店區中正路362號","2","居家服務","新北市新店區,新北市烏來區","02-22193391","02-22195386","無","cthhomecare@gmail.com",
"財團法人私立廣恩老人養護中心","新北市","新店區","北宜路2段579巷45號","新北市新店區北宜路2段579巷45號","2","居家服務","新北市蘆洲區,新北市坪林區,新北市五股區","02-22173517","02-22171577","無","guannen@ms14.hinet.net",
"財團法人天下為公社會福利慈善事業基金會","新北市","汐止區","大同路3段425號 ","新北市汐止區大同路3段425號 ","2","居家服務","新北市汐止區,新北市雙溪區,新北市平溪區","02-86488388","02-86481868","無","wba@hangan.org",
"財團法人老五老基金會","新北市","汐止區","新昌路79號1樓","新北市汐止區新昌路79號1樓","2","居家服務","新北市汐止區,新北市深坑區,新北市石碇區","02-86422321","02-86421066","無","tp@ofo.org.tw ",
"財團法人天下為公社會福利慈善事業基金會","新北市","汐止區","大同路三段425號","新北市汐止區大同路三段425號","2","居家服務","台北市內湖區,台北市南港區,台北市士林區,台北市北投區","02-86488388","02-86481868               02-86487988","無","wba@hangan.org",
"社團法人中華民國照顧服務員專業發展協會","新北市","土城區","金城路三段71號3樓  ","新北市土城區金城路三段71號3樓  ","2","居家服務","新北市土城區,新北市貢寮區","02-22651680","02-82621994 ","無","careworkertw@yahoo.com.tw",
"財團法人私立廣恩老人養護中心","新北市","蘆洲區","中山一路300號","新北市蘆洲區中山一路300號","2","居家服務","台北市中正區,台北市松山區,台北市大安區,台北市信義區","02-27609590","02-82826367","無","guannenhc3517@gmail.com",
"財團法人天主教主顧修女會","新北市","泰山區","新生路４號","新北市泰山區新生路４號","2","居家服務","新北市泰山區,新北市五股區","02-29062242","02-29030653","無","miracle.esc@msa.hinet.net",
"財團法人新北市私立雙連社會福利慈善事業基金會","新北市","三芝區","22之17號","新北市三芝區22之17號","2","居家服務","新北市新莊區,新北市三芝區,新北市石門區","02-26365999 ","02-26369726","無","homecare@ sleh.org.tw",
"財團法人天主教聖母聖心修女會","臺中市","中區","區府路103號","臺中市中區市府路103號","2","居家服務","臺中市中區,臺中市西區","04-22227181","04-22230113","http://www.lkk.org.tw/Content.aspx?s=4&c=348","stella.old@msa.hinet.net",
"社團法人台中市奢會關懷服務協會","臺中市","東區","玉皇街65號","臺中市東區玉皇街65號","2","居家服務","臺中市東區","04-22126765","04-22118908","https://www.facebook.com/groups/513361248719040","east40146@gmail.com",
"社團法人台灣省慈心協會","臺中市","南區","合作街6號2樓","臺中市南區合作街6號2樓","2","居家服務","臺中市南區","04-22290070","04-22291215","無","tcaa@ms34.hinet.net",
"財團法人天主教曉明社會福利基金會","臺中市","北區","北平路一段65號","臺中市北區北平路一段65號","2","居家服務","臺中市北區","04-22925995","04-22918635","http://www.lkk.org.tw/","north.old@msa.hinet.net",
"財團法人弘道老人福利基金會","臺中市","西屯區","中工三路199號2F","臺中市西屯區中工三路199號2F","2","居家服務","臺中市西屯區","04-23505555","04-23507001","http://www.hondao.org.tw/","hondao.middle@hondao.org.tw",
"財團法人全成社會福利基金會","臺中市","南屯區","南屯路二段530號3樓","臺中市南屯區南屯路二段530號3樓","2","居家服務","臺中市南屯區","04-23845432","04-23845448","http://www.homeservice.org.tw","NURSEHOM@MS47.HINET.NET",
"財團法人老五老基金會","臺中市","北屯區","松山街79號","臺中市北屯區松山街79號","2","家庭托顧服務,居家服務","臺中市北屯區","04-22463927#56","04-22463947","http://www.ofo.org.tw/","w273@ofo.org.tw",
"財團法人中華基督教福音信義傳道會","臺中市","東勢區","東崎路五段407號","臺中市東勢區東崎路五段407號","2","居家服務","臺中市東勢區,臺中市和平區","04-25871010","04-25873030","http://www.sh423.org.tw/index.asp","syhomeservice99@gmail.com",
"財團法人臺灣省私立永信社會福利基金會","臺中市","大甲區","成功路319號","臺中市大甲區成功路319號","2","居家服務","臺中市大甲區,臺中市大安區,臺中市外埔區","04-26760160","04-26762618","http://yspswf.yungshingroup.com","homecare@yungshingroup.com",
"財團法人童傳盛文教基金會","臺中市","梧棲區","文華街28巷153號","臺中市梧棲區文華街28巷153號","2","居家服務","臺中市清水區,臺中市沙鹿區,臺中市梧棲區","04-2656062504-26564355#18~25","04-26567673","無","swtung103@gmail.com",
"財團法人台中市私立龍眼林社會福利慈善事業基金會","臺中市","大雅區","民生路二段20號","臺中市大雅區民生路二段20號","2","居家服務","臺中市潭子區,臺中市大雅區,臺中市后里區,臺中市神岡區","04-25682195","04-25688759","http://www.lon.org.tw/","lon.ho@msa.hinet.net",
"財團法人老五老基金會","臺中市","石岡區","豐勢路503-1號","臺中市石岡區豐勢路503-1號","2","居家服務","臺中市豐原區,臺中市石岡區,臺中市新社區","04-25822133","04-25822105","www.ofo.org.tw","ts@ofo.org.tw",
"社團法人台灣省社區關懷協會","臺中市","烏日區","公園路352巷30號","臺中市烏日區公園路352巷30號","2","居家服務","臺中市烏日區,臺中市大肚區,臺中市龍井區","04-23386651","04-23360439","無","socialcare561@gmail.com",
"財團法人弘道老人福利基金會","臺中市","大里區","永隆路33號3樓","臺中市大里區永隆路33號3樓","2","居家服務","臺中市大里區,臺中市霧峰區,臺中市太平區","04-24071518","04-24063865","http://www.hondao.org.tw","office412@hondao.org.tw",
"社團法人臺南市社區照顧協會","臺南市","新營區","東興八街46號","臺南市新營區東興八街46號","2","居家服務","臺南市新營,臺南市東山,臺南市白河,臺南市柳營,臺南市鹽水,臺南市後壁","06-6379891","06-6330630","無","tainan.thc@msa.hinet.net",
"社團法人臺南市臺南都志願服務協會","臺南市","新營區","東興路221號","臺南市新營區東興路221號","2","居家服務","臺南市東區,中西區,臺南市南區,臺南市安平區,臺南市北區,安臺南市南區,臺南市永康區","06-6357286","06-6357349","無","t6357286@yahoo.com.tw",
"社團法人臺南市南瀛社會福利推展協會","臺南市","新營區","育德九街29號","臺南市新營區育德九街29號","2","居家服務","臺南市新營,臺南市東山,臺南市白河,臺南市柳營,   臺南市鹽水,臺南市後壁","06-6590488","06-6592648","無","nanying.sw@gmail.com?",
"大愛護理之家","臺南市","東山區","東正里1鄰東勢1-20號1樓","臺南市東山區東正里1鄰東勢1-20號1樓","02","居家服務","屏東縣潮州區(屏東縣潮州,屏東縣內埔,屏東縣萬巒,屏東縣竹田)屏東縣東港區(屏東縣東港,屏東縣新園,屏東縣南州,屏東縣崁頂,屏東縣琉球)屏東縣枋寮區(屏東縣枋寮,屏東縣林邊,屏東縣佳冬,屏東縣新埤)","06-6803010","06-6803010","無","di6803010@yahoo.com.tw",
"財團法人臺南市私立萬安社會福利慈善事業基金會","臺南市","官田區","文化街56號","臺南市官田區文化街56號","2","居家服務","臺南市山上,臺南市新市,臺南市新化,臺南市麻豆,   臺南市下營,臺南市官田,臺南市六甲,臺南市善化,   臺南市安定,臺南市大內","06-5790099","06-5790121","無","swcf_wanan@yahoo.com.tw",
"財團法人臺南市私立荷園社會福利慈善事業基金會","臺南市","永康區","中山南路195巷15號","臺南市永康區中山南路195巷15號","2","居家服務","臺南市西港,臺南市佳里,臺南市七股,臺南市將軍,臺南市學甲,臺南市北門,臺南市玉井,臺南市楠西,臺南市南化,臺南市左鎮","06-3020729","06-3020934","無","longcare99@gmail.com",
"社團法人臺南市容愛關懷服務協會","臺南市","永康區","大灣五街2號","臺南市永康區大灣五街2號","2","居家服務","臺南市山上,臺南市新市,臺南市新化,臺南市麻豆,   臺南市下營,臺南市官田,臺南市六甲,臺南市善化,   臺南市安定,臺南市大內,臺南市玉井,臺南市楠西,臺南市南化,臺南市左鎮","06-2717271","06-2718010","無","nt10417168@yahoo.com.tw",
"社團法人臺南市弘福社區關懷照顧服務協會","臺南市","永康區","國光六街2號1樓","臺南市永康區國光六街2號1樓","2","居家服務","臺南市西港,臺南市佳里,臺南市七股,臺南市將軍,臺南市學甲,臺南市北門","06-2058167","06-2058160","無","?homefu990308@gmail.com?",
"社團法人臺南市家庭關懷協會","臺南市","東區","東寧路120巷10-2號","臺南市東區東寧路120巷10-2號","2","居家服務","臺南市東區,臺南市中西區,臺南市南區,臺南市安平區,臺南市北區,臺南市安南區,臺南市永康區","06-2089838","06-2006693","無","shiowparng@yahoo.com.tw?",
"社團法人中華民國基督教女青年會協會台灣省臺南市支會","臺南市","東區","裕農路375號4樓","臺南市東區裕農路375號4樓","2","居家服務","臺南市東區,中西區,臺南市南區,臺南市安平區,臺南市北區,臺南市安南區,臺南市永康區","06-2007738","06-2356451","無","ywca.tn@hotmail.com",
"臺南市全人照護協會","臺南市","安平區","平通路61號2樓","臺南市安平區平通路61號2樓","2","居家服務","臺南市山上,臺南市新市,臺南市新化,臺南市麻豆,臺南市下營,臺南市官田,臺南市六甲,臺南市善化,臺南市安定,臺南市大內","06-2937250","06-2958212","無","care.service@msa.hinet.net",
"財團法人臺南市私立吾愛吾家養護中心","臺南市","安平區","永華十二街27巷10號","臺南市安平區永華十二街27巷10號","2","居家服務","臺南市東區,臺南市中西區,臺南市南區,臺南市安平區,臺南市北區,臺南市安南區,臺南市永康區","06-2952763","06-2994284","無","home723@gmail.com",
"中華民國紅十字會台灣省桃園縣支會","桃園市","桃園區","中福街66號","桃園市桃園區中福街66號","2","居家服務","桃園市八德區,桃園市龜山區,桃園市平鎮區,桃園市龍潭區","03-3327609","03-3361770","http://www.redcross.org.tw/","ty.red@msa.hinet.net",
"寬福護理之家","桃園市","桃園區","裕和街35號","桃園市桃園區裕和街35號","02","一般護理之家,居家服務","桃園市桃園區,桃園市大園區,桃園市蘆竹區","03-3702500","03-3702501","http://goo.gl/LDG3vw","cfnh99169042@gmail.com",
"社團法人桃園縣照顧服務協進會","桃園市","大溪區","天祥街1號","桃園市大溪區天祥街1號","2","居家服務","桃園市大溪,桃園市復興區","03-3873970","03-3877357","www.chiafuhome.com.tw","chiafuhome@hotmail.com",
"財團法人台灣省私立桃園仁愛之家","桃園市","楊梅區","梅獅路539巷3號","桃園市楊梅區梅獅路539巷3號","2","居家服務","桃園市中壢,桃園市觀音,桃園市楊梅,桃園市新屋","03-4643807","無","http:www.tych.org.tw/","tych.hs@hotmail.com",
