"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","許可_總床數","許可_養護床","許可_長照床","許可_安養床",
"屏東縣私立安宮老人長期照顧中心(養護型)","屏東縣","新園鄉","鹽埔村義仁路396號","屏東縣新園鄉鹽埔村義仁路396號","1","養護型機構","<year=104&class=2>","","?08-8311055","?08-8352017","無","?nice_ank2005@yahoo.com.tw","True","48","48","0","0",
"屏東縣私立崑泰老人長期照顧中心(養護型)","屏東縣","崁頂鄉","北勢村17鄰中正路836號","屏東縣崁頂鄉北勢村17鄰中正路836號","1","養護型機構","<year=104&class=3>","","?08-8635667","?08-8635586","無","8635667@gmail.com","True","49","49","0","0",
"屏東縣私立真愛老人長期照顧機構(養護型)","屏東縣","崁頂鄉","後壁路62號","屏東縣崁頂鄉後壁路62號","1","養護型機構","<year=104&class=2>","","?08-8633798","?08-8633798","無","?chenglung41@yahoo.com.tw","True","46","26","20","0",
"屏東縣私立崁農老人長期照顧中心(養護型)","屏東縣","崁頂鄉","崁頂村興農路35-1號","屏東縣崁頂鄉崁頂村興農路35-1號","1","養護型機構","<year=104&class=3>","","?08-8634328","?08-8630426","無","?phenmai@yahoo.com.tw","True","49","49","0","0",
"屏東縣私立博仁老人養護中心","屏東縣","佳冬鄉","佳冬村民生路48號","屏東縣佳冬鄉佳冬村民生路48號","1","養護型機構","<year=103&class=2>","","?08-8670938","?08-8670865","無","?shinboai@yahoo.com.tw","True","49","49","0","0",
"屏東縣私立新博愛老人養護中心","屏東縣","佳冬鄉","佳冬村民生路50號","屏東縣佳冬鄉佳冬村民生路50號","1","養護型機構","<year=102&class=2>","","08-8670938","08-8670865","無","?shinboai@yahoo.com.tw","True","49","49","0","0",
"屏東縣私立三地門老人長期照顧中心(養護型)","屏東縣","三地門鄉","三地村5鄰中正路二段77巷23號","屏東縣三地門鄉三地村5鄰中正路二段77巷23號","1","養護型機構","<year=104&class=4>","","08-7994715","?08-7993477","無","?t599834@yahoo.com.tw","True","30","30","0","0",
"財團法人台灣基督長老教會原住民宣道會附設屏東縣私立春日老人長期照顧中心(養護型)","屏東縣","春日鄉","春日村98-1號","屏東縣春日鄉春日村98-1號","1","養護型機構","<year=102&class=3>","","08-8781900","08-8781837","無","ga120245019@yahoo.com","True","32","32","0","0",
"財團法人台東縣私立台東仁愛之家","臺東縣","臺東市","豐年里中興路三段549號","台東縣台東市豐年里中興路三段549號","1","養護型機構","<year=102&class=3>","","?089-227592","?089-231785","無","?elderhome88@yahoo.com.tw","True","119","119","0","0",
"台東縣私立愛心老人養護中心","臺東縣","臺東市","新生里仁三街252號","台東縣台東市新生里仁三街252號","1","養護型機構","<year=102&class=2>","","?089-227846","?089-227846","http://aixin-family.myweb.hinet.net/","?lov520.family@msa.hinet.net","True","32","32","0","0",
"財團法人北部台灣基督長老教會東部中會附設台東縣私立長青老人養護中心","臺東縣","臺東市","鐵花路51號","台東縣台東市鐵花路51號","1","養護型機構","<year=102&class=3>","","?089-331095","?089-354886","http://www.everg.org.tw/","?long_green2006@yahoo.com.tw","True","70","70","0","0",
"財團法人台東縣私立柏林老人養護中心","臺東縣","臺東市","豐里里重慶路831號","台東縣台東市豐里里重慶路831號","1","養護型機構","<year=102&class=3>","","?089-339985","?089-357303","www.proech.org.tw","?bolin.house@msa.hinet.net","True","192","162","30","0",
"台東縣私立大愛老人養護中心","臺東縣","臺東市","豐榮里仁義北路165號","台東縣台東市豐榮里仁義北路165號","1","養護型機構","<year=102&class=3>","","?089-346129","?089-360204","http://daai-family.myweb.hinet.net","?daai.family@msa.hinet.net","True","40","40","0","0",
"台東縣私立一心老人養護中心","臺東縣","臺東市","豐榮里正氣北路339巷19號","台東縣台東市豐榮里正氣北路339巷19號","1","養護型機構","<year=102&class=3>","","?089-338358","?089-361042","無","?iflike@yahoo.com.tw","True","18","18","0","0",
"臺東縣私立慈心老人長期照顧中心(養護型)","臺東縣","臺東市","東海里桂林北路75號","台東縣台東市東海里桂林北路75號","1","養護型機構","<year=101&class=3>","","?089-342378","?089-310798","無","?anna520745@gmail.com","True","48","48","0","0",
"臺東縣私立豐禾老人養護中心","臺東縣","臺東市","豐谷里中華路2段618巷17號","台東縣台東市豐谷里中華路2段618巷17號","1","養護型機構","<year=102&class=3>","","?089-346552","?089-348635","無","無","True","16","16","0","0",
"臺東縣私立九如老人長期照顧中心(養護型)","臺東縣","臺東市","寧波街21巷35號","台東縣台東市寧波街21巷35號","1","養護型機構","<year=101&class=3>","","?089-348386","?089-348386","無","無","True","12","12","0","0",
"財團法人台東縣天主教聖十字架慈愛修女會附設天主教私立聖十字架療養院","臺東縣","關山鎮","中福里中正路55號","台東縣關山鎮中福里中正路55號","1","養護型機構","<year=102&class=2>","","?089-811073","?089-810112","http://www.holycross.tw","?hc.h811073@msa.hinet.net","True","40","40","0","0",
"台東縣私立利嘉老人長期照顧中心（養護型）","臺東縣","卑南鄉","利嘉村利嘉路627巷31弄20號","台東縣卑南鄉利嘉村利嘉路627巷31弄20號","1","養護型機構","<year=103&class=2>","","089-385204","無","無","無","True","48","48","0","0",
"台東縣私立仁和老人養護中心","臺東縣","卑南鄉","利嘉村627巷31弄16號","台東縣卑南鄉利嘉村627巷31弄16號","1","養護型機構","<year=102&class=2>","","?089-383477","?089-382357","http://jenho.com.tw","?liu5317@yahoo.com.tw","True","49","49","0","0",
"臺東縣太麻里老人長期照顧中心(養護型)","臺東縣","太麻里鄉","泰和村太麻里街265號","台東縣太麻里鄉泰和村太麻里街265號","1","養護型機構","<year=101&class=2>","","?089-780699#333","?089-780966","無","無","True","46","46","0","0",
"衛生福利部東區老人之家","花蓮縣","花蓮市","民權路125號","花蓮縣花蓮市民權路125號","1","養護型機構","<year=102&class=1>","","?03-8221148","?03-8222762","http://ersch.mohw.gov.tw","et150@ersch.mohw.gov.tw","True","320","160","8","140",
"花蓮縣私立長青老人養護中心","花蓮縣","玉里鎮","大禹里酸柑1鄰11-2號","花蓮縣玉里鎮大禹里酸柑1鄰11-2號","1","養護型機構","<year=102&class=2>","","?03-8980299","?03-8980339","無","?eg8980299@yahoo.com.tw","True","49","49","0","0",
"財團法人天主教花蓮教區附設花蓮縣私立聲遠老人養護之家","花蓮縣","新城鄉","博愛路31號","花蓮縣新城鄉博愛路31號","1","養護型機構","<year=102&class=3>","","?03-8610075","?03-8610200","無","filamena93@yahoo.com.tw","True","54","54","0","0",
"財團法人中華基督教伯特利會總會附設花蓮縣私立長榮養護院","花蓮縣","吉安鄉","光華村4鄰華城五街550號","花蓮縣吉安鄉光華村4鄰華城五街550號","1","養護型機構","<year=102&class=3>","","?03-8420122","?03-8412441","http://egnh.idv.bz","?egnh100@yahoo.com.tw","True","100","100","0","0",
"財團法人花蓮縣私立博愛居安廬老人長期照顧中心(養護型)","花蓮縣","吉安鄉","吉昌一街258巷1號","花蓮縣吉安鄉吉昌一街258巷1號","1","養護型機構","<year=102&class=3>","","?03-8528789","?03-8528943","無","?boaisn@ms67.hinet.net","True","52","0","0","52",
"花蓮縣私立長生老人養護中心","花蓮縣","吉安鄉","東海六街81號","花蓮縣吉安鄉東海六街81號","1","養護型機構","<year=102&class=2>","","?03-8522066","?03-8536716","http://cs038522066.myweb.hinet.net/","?abc522066@yahoo.com.tw","True","49","49","0","0",
"花蓮縣私立祥安養護中心","花蓮縣","吉安鄉","荳蘭七街28號","花蓮縣吉安鄉荳蘭七街28號","1","養護型機構","<year=102&class=3>","","?03-8510423","?03-8510448","無","?shangan2000@hotmail.com","True","48","48","0","0",
"花蓮縣私立全民老人養護中心","花蓮縣","吉安鄉","建昌路185號","花蓮縣吉安鄉建昌路185號","1","養護型機構","<year=102&class=2>","","?03-8572877","?03-8578015","http://chiuan-min.com.tw/about-us.html","?te3285@yahoo.com.tw","True","48","48","0","0",
"花蓮縣私立富康老人長期照顧中心(養護型)","花蓮縣","吉安鄉","太昌村2鄰明義二街28號","花蓮縣吉安鄉太昌村2鄰明義二街28號","1","養護型機構","無","3","03-8571151","03-8567100","無","fuukaa2015@gmail.com","True","49","49","0","0",
"花蓮縣私立長春養護之家","花蓮縣","吉安鄉","南華村南華二街295號","花蓮縣吉安鄉南華村南華二街295號","1","養護型機構","<year=102&class=2>","","?038-534028","?038-549943","無","?weimin_chang9@hotmail.com","True","38","38","0","0",
"財團法人花蓮縣私立吉豐老人養護所","花蓮縣","壽豐鄉","平和村23鄰吳全96之10號","花蓮縣壽豐鄉平和村23鄰吳全96之10號","1","養護型機構","<year=102&class=3>","","?03-8663822","?03-8663560","http://ji-feng168.myweb.hinet.net/","?a87400286@yahoo.com.tw","True","200","200","0","0",
"花蓮縣私立慈暉老人長期照顧中心(養護型)","花蓮縣","秀林鄉","景美村加灣17~33號","花蓮縣秀林鄉景美村加灣17~33號","1","養護型機構","<year=102&class=3>","","?03-8264597","?03-8261842","無","?V0916238698@ yahoo.com.tw","True","49","49","0","0",
"衛生福利部澎湖老人之家","澎湖縣","馬公市","光華里123號","澎湖縣馬公市光華里123號","1","養護型機構","<year=104&class=2>","","06-9217056","06-9217905","http://phsch.mohw.gov.tw","?o9217056@ms62.hinet.net","True","72","48","0","24",
"澎湖縣私立感恩養護中心","澎湖縣","白沙鄉","中屯村100號","澎湖縣白沙鄉中屯村100號","1","養護型機構","<year=102&class=2>","","06-9933888","06-9933887","無","無","True","49","49","0","0",
"澎湖縣私立慈安養護中心","澎湖縣","白沙鄉","中屯村99號","澎湖縣白沙鄉中屯村99號","1","養護型機構","<year=104&class=2>","","06-9931899","06-9933368","無","無","True","34","34","0","0",
"基隆市私立祥安老人長期照顧中心(養護型)","基隆市","中正區","中正路99號2樓,2樓之1,2樓之2","基隆市中正區中正路99號2樓,2樓之1,2樓之2","1","養護型機構","<year=104&class=2>","","?02-24629990","?02-24263468","無","?lin367322@yahoo.com.tw","True","30","30","0","0",
"基隆市私立宏欣老人養護中心","基隆市","中正區","正榮街28-6號2樓.50號1樓.51號1樓","基隆市中正區正榮街28-6號2樓.50號1樓.51號1樓","1","養護型機構","<year=104&class=3>","","?02-24620285","?02-24631443","http://www.iyp.com.tw/0224632060","?ian.rose@msa.hinet.net","True","24","24","0","0",
"基隆市私立健安老人長期照顧中心(養護型)","基隆市","中正區","義二路2巷9號及13號3樓","基隆市中正區義二路2巷9號及13號3樓","1","養護型機構","<year=104&class=3>","","?02-24229001","?02-24254285","無","?jianan.yanghu@gmail.com","True","22","22","0","0",
"基隆市私立中正老人養護中心","基隆市","中正區","平一路274、276號2至4樓","基隆市中正區平一路274、276號2至4樓","1","養護型機構","<year=104&class=2>","","?02-24637000","?02-24620433","無","?lin367322@yahoo.com.tw","True","47","47","0","0",
"基隆市私立無量壽老人養護中心","基隆市","七堵區","開元路138號2-5樓、140號1-5樓","基隆市七堵區開元路138號2-5樓、140號1-5樓","1","養護型機構","<year=104&class=2>","","?02-24555167","?02-24562838","無","無","True","43","43","0","0",
"基隆市私立宏安老人長期照顧中心(養護型)","基隆市","七堵區","東新街91號2樓","基隆市七堵區東新街91號2樓","1","養護型機構","<year=104&class=3>","","?02-24553517","02-24551577","無","?hongan889@gmail.com","True","29","29","0","0",
"基隆市私立長青老人養護中心","基隆市","七堵區","八德路21號2樓.21之1號1樓","基隆市七堵區八德路21號2樓.21之1號1樓","1","養護型機構","<year=104&class=2>","","?02-24329690","?02-24329691","無","無","True","30","30","0","0",
"基隆市私立百福老人長期照顧中心(養護型)","基隆市","七堵區","百六街139號1樓","基隆市七堵區百六街139號1樓","1","養護型機構","<year=104&class=3>","","02-24512577","02-24517556","無","無","True","40","40","0","0",
"基隆市私立百安老人長期照顧中心（養護型）","基隆市","七堵區","百六街139號2樓","基隆市七堵區百六街139號2樓","1","養護型機構","<year=104&class=3>","","?02-24518161","?02-24518151","無","?guardian23@seed.net.tw","True","47","47","0","0",
"基隆市私立愛心老人長期照顧中心(養護型)","基隆市","七堵區","福一街162號2樓","基隆市七堵區福一街162號2樓","1","養護型機構","<year=104&class=1>","","?02-24524532","?02-24516462","http://www.24524592.hos.tw/","?yangyang590211@yahoo.com.tw","True","42","42","0","0",
"基隆市私立健慈老人長期照顧中心(養護型)","基隆市","七堵區","福二街205號","基隆市七堵區福二街205號","1","養護型機構","<year=104&class=2>","","?02-24526532","?02-24524624","無","?love217217@yahoo.com.tw","True","46","46","0","0",
"基隆市私立松濤老人長期照顧中心(養護型)","基隆市","暖暖區","東勢街路6之46號4樓","基隆市暖暖區東勢街路6之46號4樓","1","養護型機構","<year=104&class=2>","","?02-24571397","?02-24581751","無","?lu292008@yahoo.com.tw","True","40","40","0","0",
"基隆市私立祥瑞老人長期照顧中心(養護型)","基隆市","暖暖區","源遠路280巷126號4-5樓.128號4樓.5樓","基隆市暖暖區源遠路280巷126號4-5樓.128號4樓.5樓","1","養護型機構","<year=104&class=3>","","?02-24588935","?02-24571257","無","?lin.charlie@yahoo.com","True","23","23","0","0",
"財團法人基隆市私立博愛仁愛之家","基隆市","暖暖區","源遠路254號","基隆市暖暖區源遠路254號","1","養護型機構","<year=104&class=1>","","02-2457-9909","02-2458-2875","http://www.bor_ay.com.tw","bor.ay.keelung@gmail.com","TRUE","317","48","","269",
"基隆市私立仁安老人長期照顧中心(養護型)","基隆市","仁愛區","忠二路55號5樓","基隆市仁愛區忠二路55號5樓","1","養護型機構","<year=104&class=2>","","?02-24276692","無","無","?zn24276592@yahoo.com.tw","True","31","31","0","0",
"基隆市私立聯安老人長期照顧中心(養護型)","基隆市","仁愛區","愛五路34號7樓","基隆市仁愛區愛五路34號7樓","1","養護型機構","<year=104&class=2>","","?02-24241073.?02-24291071","無","無","?n24241071@yahoo.com.tw","True","47","47","0","0",
"基隆市私立慈安老人長期照顧中心(養護型)","基隆市","仁愛區","忠二路55號4樓","基隆市仁愛區忠二路55號4樓","1","養護型機構","<year=104&class=2>","","?02-24276592","?02-24270120","無","?zn24276592@yahoo.com.tw","True","31","31","0","0",
"基隆市私立逸嘉老人長期照顧中心(養護型)","基隆市","仁愛區","忠四路13號7樓","基隆市仁愛區忠四路13號7樓","1","養護型機構","<year=104&class=3>","","?02-24288091","?02-24288092","無","?ikaresthome@yahoo.com","True","39","39","0","0",
"基隆市立仁愛之家養護大樓(委辦單位：財團法人台北市私立恆安老人長期照顧中心(長期照護型)","基隆市","安樂區","安一路370巷1之5號","基隆市安樂區安一路370巷1之5號","1","養護型機構","<year=104&class=1>","","?02-24216299","?02-24216199","http://keelung.hangan.org/","?keelung@hangan.org.tw","True","230","230","0","0",
"基隆市私立志心老人養護中心","基隆市","安樂區","樂利三街189號.193號1樓","基隆市安樂區樂利三街189號.193號1樓","1","養護型機構","<year=104&class=3>","","?02-24317934","?02-24342675","無","?f221788@yahco.com.tw","True","24","24","0","0",
"基隆市私立祝安老人養護中心","基隆市","安樂區","定國街11巷49.50.51號2樓","基隆市安樂區定國街11巷49.50.51號2樓","1","養護型機構","<year=104&class=2>","","?02-24273500","?02-24213300","無","?n24273500@hotmail.com","True","24","24","0","0",
"基隆市私立順逸老人養護中心","基隆市","安樂區","基金一路210巷58號","基隆市安樂區基金一路210巷58號","1","養護型機構","<year=104&class=2>","","?02-24340129","無","無","?yu_lin1959@yahoo.com.tw","True","49","49","0","0",
"基隆市私立福慧老人長期照顧中心(養護型)","基隆市","安樂區","武聖街12號","基隆市安樂區武聖街12號","1","養護型機構","<year=104&class=3>","","?02-24320418","?02-24320419","http://wealwise.blogspot.tw/","?weal.wise@msa.hinet.net","True","31","31","0","0",
"基隆市私立安安老人養護中心","基隆市","安樂區","樂利三街189號.203號1樓","基隆市安樂區樂利三街189號.203號1樓","1","養護型機構","<year=104&class=3>","","無","02-24337085","無","無","True","20","20","0","0",
"基隆市私立尚暉老人長期照顧中心(養護型)","基隆市","信義區","深美街121號1-4樓","基隆市信義區深美街121號1-4樓","1","養護型機構","<year=104&class=2>","","?02-24663098","無","無","?vive@ms4.hinet.net","True","44","44","0","0",
"基隆市私立春暉老人長期照顧中心(養護型)","基隆市","信義區","深美街123號1-4樓","基隆市信義區深美街123號1-4樓","1","養護型機構","<year=104&class=2>","","?02-24663099","無","無","無","True","44","44","0","0",
"基隆市私立惠安老人養護中心","基隆市","信義區","東明路97號2樓","基隆市信義區東明路97號2樓","1","養護型機構","<year=104&class=3>","","?02-24662899","?02-24662872","無","?hn24662899@yahoo.com.tw","True","35","35","0","0",
"基隆市私立深美老人長期照顧中心(養護型)","基隆市","信義區","教忠街37號","基隆市信義區教忠街37號","1","養護型機構","<year=104&class=3>","","?02-24685311","02-24684355","無","?shenmei6@gmail.com","True","33","33","0","0",
"基隆市私立康富老人長期照顧中心(養護型)","基隆市","信義區","教忠街48號1至4樓","基隆市信義區教忠街48號1至4樓","1","養護型機構","<year=104&class=1>","","02-24669917","02-24669937","無","無","True","48","48","0","0",
"新竹市私立欣安老人養護中心","新竹市","東區","南大路428號2樓","新竹市東區南大路428號2樓","1","養護型機構","<year=102&class=2>","","?03-5629737","?03-5628652","?http://www.sinan.tw/","?w0001010@yahoo.com.tw","True","21","21","0","0",
"財團法人台灣省私立桃園仁愛之家附設新竹老人養護中心","新竹市","東區","西門街116號","新竹市東區西門街116號","1","養護型機構","<year=102&class=2>","","035-285585　","035-285587","http://www.tych.org.tw/hc/index.htm","liaoyuch@yahoo.com.tw","True","220","200","0","0",
"新竹市私立青草湖長壽老人養護中心","新竹市","東區","明湖路1006巷102弄1、2、4號","新竹市東區明湖路1006巷102弄1、2、4號","1","養護型機構","<year=102&class=3>","","?03-5293859","?03-5293860","無","?nikey620615@yahoo.com.tw","True","30","30","0","0",
"新竹市私立人瑞老人長期照顧中心(養護型)","新竹市","北區","金雅里公道五路四段547號","新竹市北區金雅里公道五路四段547號","1","養護型機構","<year=102&class=3>","","?03-5330080","?03-5330035","無","?audia41981@yahoo.com.tw","True","38","38","0","0",
"財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心","新竹市","北區","延平路一段491號","新竹市北區延平路一段491號","1","養護型機構","<year=102&class=3>","","?03-5244222#204","?03-5243547","?http://bethanynursing.wix.com/bethany#","?bethany.home@msa.hinet.net","True","48","48","0","0",
"新竹市私立名伸老人養護中心","新竹市","北區","東大路三段232巷2號","新竹市北區東大路三段232巷2號","1","養護型機構","<year=102&class=3>","","?03-5366472","?03-5366462","無","無","True","22","22","0","0",
"新竹市私立松慈老人養護中心","新竹市","北區","東大路二段65巷36號","新竹市北區東大路二段65巷36號","1","養護型機構","<year=102&class=2>","","?03-5355366","?03-5355366","http://happyoldman.myweb.hinet.net/","無","True","42","42","0","0",
"新竹市私立慈慧老人長期照顧中心(養護型)","新竹市","北區","新民街27之1號/新民街33巷9號","新竹市北區新民街27之1號/新民街33巷9號","1","養護型機構","<year=104&class=3>","","03-5266200","03-5266200","http://www.home1011005.com.tw/product_classify/S-tws_txt/index.php?Product_Site_Classify_SN=1000158837&PHPSESSID=fnuzeejyiqnxysvfbvolnggluibnltvq&Company_SN=1000700054 ","無","True","48","48","0","0",
"新竹市私立建嘉老人長期照顧中心（養護型）","新竹市","香山區","中華路五段392號、396號","新竹市香山區中華路五段392號、396號","1","養護型機構","<year=102&class=3>","","?03-5386677","?03-5380677","?http://resthouse.myweb.hinet.net","?bch0225@yahoo.com.tw","True","48","48","0","0",
"新竹市私立懷親老人養護中心","新竹市","香山區","中華路五段599巷3號","新竹市香山區中華路五段599巷3號","1","養護型機構","<year=102&class=3>","","?03-5377686","?03-5377696","無","?hwaichin24@yahoo.com.tw","True","43","43","0","0",
"新竹市私立仙樂園老人長期照顧中心(養護型)","新竹市","香山區","中華路六段647巷75弄1-3 號","新竹市香山區中華路六段647巷75弄1-3 號","1","養護型機構","<year=104&class=3>","","?03-5371155","?03-5371573","http://az850810.myweb.hinet.net/frame.html","?cc.p0215@msa.hinet.net","True","34","34","0","0",
"財團法人臺灣省私立嘉義濟美仁愛之家","嘉義市","東區","圳頭里盧義路361號","嘉義市圳頭里盧義路361號","1","養護型機構","<year=102&class=2>","","?05-2766130","?05-2770718","http://jimei.org.tw/","?jimei.org@msa.hinet.net","True","197","108","0","89",
"財團法人臺灣省私立嘉義仁愛之家","嘉義市","東區","吳鳳南路119號","嘉義市東區吳鳳南路119號","1","養護型機構","<year=102&class=2>","","05-2250065","?05-2222610","http://www.cyja.org.tw","cyja.cyja@msa.hinet.net","True","173","123","50","0",
"財團法人台灣省私立嘉義博愛仁愛之家","嘉義市","東區","林森東路235號","嘉義市東區林森東路235號","1","養護型機構","<year=102&class=3>","","?05-2762306","?05-2751344","無","?chiayi_old@yahoo.com.tw","True","256","200","0","56",
"嘉義市私立東洋老人養護中心","嘉義市","東區","文心街119號","嘉義市東區文心街119號","1","養護型機構","<year=102&class=2>","","?05-2761297","?05-2766933","無","?doimomo36@yahoo.com.tw","True","8","8","0","0",
"嘉義市私立宏仁老人養護中心","嘉義市","東區","荖?里28-1號","嘉義市東區荖?里28-1號","1","養護型機構","<year=102&class=2>","","?05-2318756","?05-2311032","https://www.facebook.com/hr2318756/?ref=hl","?hr28_1@yahoo.com.tw","True","41","41","0","0",
"嘉義市私立慈保老人養護中心","嘉義市","東區","大雅路2段234巷10、12、14、16、18號","嘉義市東區大雅路2段234巷10、12、14、16、18號","1","養護型機構","<year=102&class=2>","","?05-2769992","?05-2752351","無","?cibao2769992@yahoo.com.tw","True","40","40","0","0",
"私立新仁友老人長期照顧中心〈養護型〉","嘉義市","東區","民權路332巷38號","嘉義市東區民權路332巷38號","1","養護型機構","<year=102&class=3>","","?05-2786603","?05-2786605","","?uwu0102@yahoo.com.tw","True","49","49","0","0",
"嘉義市私立金蓮園老人長期照顧中心〈養護型〉","嘉義市","東區","林森東路875號","嘉義市東區嘉義市東區林森東路875號","1","養護型機構","<year=102&class=2>","","?05-2741616","?05-2789535","http://www.mei-hsiang.com.tw/","?bbs279@hotmail.com","True","49","49","0","0",
"嘉義市私立仁友老人長期照顧中心〈養護型〉","嘉義市","東區","文化路254之1號","嘉義市東區文化路254之1號","1","養護型機構","無","101年1月立案，預計105年完成評鑑","?05-2786606","?05-2786605","無","?uwu0102@yahoo.com.tw","True","49","49","0","0",
"嘉義市私立鴻海老人長期照顧中心〈養護型〉","嘉義市","東區","荖藤宅87號","嘉義市東區荖藤宅87號","1","養護型機構","無","3","05-2318518","05-2911248","無","apple79615128@yahoo.com.tw ","True","16","16","0","0",
"嘉義市私立誠泰老人長期照顧中心〈養護型〉","嘉義市","西區","劉厝里大賢路148號","嘉義市西區劉厝里大賢路148號","1","養護型機構","<year=102&class=2>","","?05-2366312","?05-2366127","http://www.ctcare.com.tw/","?ct2366312@gmail.com","True","49","49","0","0",
"嘉義市私立博仁老人養護中心","嘉義市","西區","北社尾路49號","嘉義市西區北社尾路49號","1","養護型機構","<year=102&class=2>","","?05-2372088","?05-2375675","無","?p2372088@yahoo.com.tw","True","49","49","0","0",
"嘉義市私立誠泰老人養護中心","嘉義市","西區","大賢路148號","嘉義市西區大賢路148號","1","養護型機構","<year=102&class=2>","","?05-2366317","?05-2366127","http://www.ctcare.com.tw","?ct2366312@gmail.com","True","48","48","0","0",
"臺北市私立康壯老人長期照顧中心(養護型)","臺北市","松山區","八德路4段203號、205號1-4樓","台北市松山區八德路4段203號、205號1-4樓","1","養護型機構","<year=104&class=2>","","02-?27686697","02-?27623272","http://yao4343.myweb.hinet.net/","?yao4343@yahoo.com.tw","True","49","49","0","0",
"臺北市私立群英老人長期照顧中心(養護型)","臺北市","松山區","敦化南路一段7號4樓","台北市松山區敦化南路一段7號4樓","1","養護型機構","<year=104&class=2>","","?02-25791400","02-?25790712","無","?chun_ying_168@yahoo.com.tw","True","24","24","0","0",
"臺北市私立台大老人長期照顧中心(養護型)","臺北市","松山區","敦化南路一段7之1號4樓","台北市松山區敦化南路一段7之1號4樓","1","養護型機構","<year=103&class=3>","","?02-25792816","02-?25790712","http://taidashan.myweb.hinet.net/","?tai_da_168@yahoo.com.tw","True","24","24","0","0",
"臺北市私立仁仁老人長期照顧中心(養護型)","臺北市","松山區","南京東路五段356號2樓","台北市松山區南京東路五段356號2樓","1","養護型機構","<year=102&class=3>","","?02-27659900","02-27470227","http://www.ren-ren.com.tw/about-us.html","?renren541747@yahoo.com.tw","True","34","34","0","0",
"臺北市私立長泰老人養護所","臺北市","信義區","吳興街284巷18弄4號1樓","台北市信義區吳興街284巷18弄4號1樓","1","養護型機構","<year=103&class=3>","","02-?27372007","02-?27396968","http://chang-taielderlycenter.com.tw/","?aihuapan08@gmail.com","True","9","9","0","0",
"臺北市私立康庭老人養護所","臺北市","信義區","信義路六段15巷16號1樓","台北市信義區信義路六段15巷16號1樓","1","養護型機構","<year=102&class=3>","","?02-23460684","02-?27598755","http://www.kangt.com.tw/","?ucs216244@yahoo.com.tw","True","20","20","0","0",
"台北市私立倚青苑老人養護所","臺北市","信義區","中坡北路21號1-2樓","台北市信義區中坡北路21號1-2樓","1","養護型機構","<year=103&class=2>","","?02-27477232","02-?27607873","http://www.carehome.com.tw","?careoldman@gmail.com","True","28","28","0","0",
"臺北市私立健全老人長期照顧中心(養護型)","臺北市","大安區","金山南路二段152號2、3、5、6樓","台北市大安區金山南路二段152號2、3、5、6樓","1","養護型機構","<year=102&class=2>","","?02-23943265~6","02-?23570405","無","?c0152@ms22.hinet.net","True","47","38","9","0",
"臺北市私立康寧老人長期照顧中心(養護型)","臺北市","大安區","仁愛路4段300巷20弄15號2樓、17號2樓","台北市大安區仁愛路4段300巷20弄15號2樓、17號2樓","1","養護型機構","無","3","02-27053835","02-27541657","無","無","True","30","30","0","0",
"臺北市私立新常安老人長期照顧中心(養護型)","臺北市","大安區","安居街46巷14號1~3樓及和平東路3段228巷39號2樓","台北市大安區臺北市大安區安居街46巷14號1~3樓及和平東路3段228巷39號2樓","1","養護型機構","<year=103&class=2>","","?02-23775448","02-?23776909","http://blog.xuite.net/sinchangan/wretch","?sin_chang_an@yahoo.com.tw","True","39","39","0","0",
"臺北市私立嘉恩老人長期照顧中心(養護型)","臺北市","大安區","安居街27號4、6樓及29號4、5樓","台北市大安區安居街27號4、6樓及29號4、5樓","1","養護型機構","<year=102&class=1>","","?02-27371330","02-?27371330","http://www.chiaen.org.tw/introduce.html","?GreatGraceElderCare@gmail.com","True","43","43","0","0",
"臺北市私立天恩老人長期照顧中心(養護型)","臺北市","大安區","新生南路三段7-4、9-4、9-5號","台北市大安區新生南路三段7-4、9-4、9-5號","1","養護型機構","<year=103&class=2>","","?02-23620457","02-?23628704","http://www.tian-en.com.tw/index.html","?B23620457@YAHOO.COM.TW","True","48","48","0","0",
"臺北市私立上上老人養護所","臺北市","大安區","復興南路一段279巷14、16號1樓","台北市大安區復興南路一段279巷14、16號1樓","1","養護型機構","<year=104&class=1>","","02-?27032223","02-?27042691","http://shangshang58.pixnet.net/blog","?shangshang58@yahoo.com.tw","True","15","15","0","0",
"臺北市私立福全老人養護所","臺北市","中山區","松江路374.380.382號4樓","台北市中山區松江路374.380.382號4樓","1","養護型機構","<year=103&class=2>","","02-?25982507","02-?25917151","http://fc25982507.pixnet.net/blog/post/172837528-%E6%9C%AC%E6%89%80%E6%94%B6%E8%B2%BB%E6%A8%99%E6%BA%96","?fc25982507@gmail.com","True","28","28","0","0",
"臺北市私立松瑞園老人長期照顧中心(養護型)","臺北市","中山區","雙城街32巷1號1、2、3樓","台北市中山區雙城街32巷1號1、2、3樓","1","養護型機構","<year=103&class=2>","","02-?25968222","02-?25987803","http://www.songzuwen.com.tw/","?songzuwen@yahoo.com.tw","True","49","49","0","0",
